Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,year
Chargers,                    347                  ,                    3925                  ,                    11.3                  ,                    28                  ,                    45                  ,                    11                  ,                    55                  ,                    201                  ,                    57.9                  ,                    6                  ,                    72                  ,2012
Cardinals,                    270                  ,                    3441                  ,                    12.7                  ,                    20                  ,                    48                  ,                    8                  ,                    80T                  ,                    160                  ,                    59.3                  ,                    4                  ,                    78                  ,2012
Bengals,                    346                  ,                    3761                  ,                    10.9                  ,                    16                  ,                    51                  ,                    5                  ,                    71T                  ,                    183                  ,                    52.9                  ,                    4                  ,                    74                  ,2012
Ravens,                    335                  ,                    3900                  ,                    11.6                  ,                    15                  ,                    49                  ,                    8                  ,                    59                  ,                    187                  ,                    55.8                  ,                    3                  ,                    86                  ,2012
Rams,                    362                  ,                    3927                  ,                    10.8                  ,                    16                  ,                    36                  ,                    7                  ,                    68T                  ,                    197                  ,                    54.4                  ,                    2                  ,                    63                  ,2012
Browns,                    378                  ,                    4156                  ,                    11                  ,                    27                  ,                    43                  ,                    8                  ,                    64T                  ,                    203                  ,                    53.7                  ,                    5                  ,                    81                  ,2012
Jaguars,                    341                  ,                    3960                  ,                    11.6                  ,                    21                  ,                    48                  ,                    8                  ,                    59                  ,                    194                  ,                    56.9                  ,                    2                  ,                    59                  ,2012
Giants,                    341                  ,                    4299                  ,                    12.6                  ,                    26                  ,                    60                  ,                    13                  ,                    62T                  ,                    196                  ,                    57.5                  ,                    5                  ,                    67                  ,2012
Titans,                    374                  ,                    4205                  ,                    11.2                  ,                    31                  ,                    55                  ,                    7                  ,                    82T                  ,                    210                  ,                    56.2                  ,                    4                  ,                    69                  ,2012
Buccaneers,                    410                  ,                    4951                  ,                    12.1                  ,                    30                  ,                    69                  ,                    11                  ,                    80T                  ,                    226                  ,                    55.1                  ,                    4                  ,                    82                  ,2012
Bills,                    306                  ,                    3669                  ,                    12                  ,                    25                  ,                    45                  ,                    7                  ,                    53                  ,                    182                  ,                    59.5                  ,                    6                  ,                    79                  ,2012
Vikings,                    391                  ,                    4192                  ,                    10.7                  ,                    28                  ,                    44                  ,                    5                  ,                    73                  ,                    229                  ,                    58.6                  ,                    3                  ,                    76                  ,2012
Dolphins,                    353                  ,                    4216                  ,                    11.9                  ,                    18                  ,                    60                  ,                    6                  ,                    66                  ,                    215                  ,                    60.9                  ,                    6                  ,                    66                  ,2012
Redskins,                    393                  ,                    4720                  ,                    12                  ,                    31                  ,                    58                  ,                    11                  ,                    85T                  ,                    223                  ,                    56.7                  ,                    3                  ,                    93                  ,2012
Niners,                    337                  ,                    3473                  ,                    10.3                  ,                    19                  ,                    38                  ,                    7                  ,                    53                  ,                    178                  ,                    52.8                  ,                    7                  ,                    76                  ,2012
Bears,                    350                  ,                    3712                  ,                    10.6                  ,                    19                  ,                    47                  ,                    4                  ,                    62                  ,                    186                  ,                    53.1                  ,                    10                  ,                    96                  ,2012
Panthers,                    371                  ,                    3852                  ,                    10.4                  ,                    22                  ,                    38                  ,                    5                  ,                    60T                  ,                    195                  ,                    52.6                  ,                    1                  ,                    64                  ,2012
Chiefs,                    279                  ,                    3694                  ,                    13.2                  ,                    29                  ,                    51                  ,                    10                  ,                    62T                  ,                    176                  ,                    63.1                  ,                    6                  ,                    65                  ,2012
Jets,                    266                  ,                    3206                  ,                    12                  ,                    20                  ,                    42                  ,                    4                  ,                    83T                  ,                    161                  ,                    60.5                  ,                    3                  ,                    58                  ,2012
Seahawks,                    327                  ,                    3497                  ,                    10.7                  ,                    15                  ,                    40                  ,                    5                  ,                    56                  ,                    186                  ,                    56.9                  ,                    5                  ,                    78                  ,2012
