Team,Rsh TD,Rec TD,Tot TD,2-PT,year
Broncos,                    13                  ,                    21                  ,                    35                  ,                    2                  ,2020
Chiefs,                    13                  ,                    40                  ,                    57                  ,                    3                  ,2020
Giants,                    13                  ,                    12                  ,                    27                  ,                    2                  ,2020
Bears,                    12                  ,                    26                  ,                    40                  ,                    2                  ,2020
Steelers,                    12                  ,                    35                  ,                    50                  ,                    2                  ,2020
Chargers,                    12                  ,                    31                  ,                    45                  ,                    2                  ,2020
Texans,                    10                  ,                    33                  ,                    44                  ,                    1                  ,2020
Jaguars,                    9                  ,                    25                  ,                    37                  ,                    3                  ,2020
Jets,                    9                  ,                    16                  ,                    26                  ,                    1                  ,2020
Eagles,                    25                  ,                    20                  ,                    50                  ,                    5                  ,2021
Patriots,                    24                  ,                    24                  ,                    51                  ,                    3                  ,2021
Titans,                    23                  ,                    22                  ,                    49                  ,                    2                  ,2021
Cardinals,                    23                  ,                    27                  ,                    52                  ,                    0                  ,2021
Colts,                    22                  ,                    27                  ,                    52                  ,                    2                  ,2021
49ers,                    22                  ,                    26                  ,                    50                  ,                    2                  ,2021
Bills,                    20                  ,                    36                  ,                    57                  ,                    3                  ,2021
Browns,                    20                  ,                    21                  ,                    43                  ,                    3                  ,2021
Ravens,                    18                  ,                    21                  ,                    41                  ,                    2                  ,2021
Chargers,                    18                  ,                    38                  ,                    58                  ,                    7                  ,2021
Seahawks,                    18                  ,                    30                  ,                    49                  ,                    1                  ,2021
Buccaneers,                    18                  ,                    43                  ,                    63                  ,                    1                  ,2021
Panthers,                    17                  ,                    14                  ,                    32                  ,                    3                  ,2021
Bengals,                    16                  ,                    36                  ,                    54                  ,                    1                  ,2021
Broncos,                    16                  ,                    20                  ,                    37                  ,                    1                  ,2021
Chiefs,                    16                  ,                    37                  ,                    57                  ,                    2                  ,2021
Cowboys,                    15                  ,                    40                  ,                    64                  ,                    6                  ,2021
Bears,                    14                  ,                    16                  ,                    33                  ,                    3                  ,2021
Raiders,                    14                  ,                    23                  ,                    37                  ,                    0                  ,2021
Jets,                    14                  ,                    20                  ,                    36                  ,                    4                  ,2021
Packers,                    13                  ,                    39                  ,                    54                  ,                    1                  ,2021
Jaguars,                    13                  ,                    12                  ,                    28                  ,                    2                  ,2021
FootballTeam,                    13                  ,                    21                  ,                    37                  ,                    2                  ,2021
Lions,                    12                  ,                    23                  ,                    35                  ,                    5                  ,2021
Dolphins,                    12                  ,                    21                  ,                    39                  ,                    2                  ,2021
Saints,                    12                  ,                    29                  ,                    43                  ,                    0                  ,2021
Falcons,                    11                  ,                    20                  ,                    33                  ,                    1                  ,2021
Rams,                    10                  ,                    41                  ,                    52                  ,                    2                  ,2021
Vikings,                    10                  ,                    34                  ,                    48                  ,                    1                  ,2021
Steelers,                    10                  ,                    23                  ,                    34                  ,                    2                  ,2021
Texans,                    8                  ,                    21                  ,                    31                  ,                    2                  ,2021
Giants,                    8                  ,                    15                  ,                    24                  ,                    4                  ,2021
Eagles,                    32                  ,                    25                  ,                    59                  ,                    2                  ,2022
Cowboys,                    24                  ,                    28                  ,                    55                  ,                    0                  ,2022
Lions,                    23                  ,                    29                  ,                    54                  ,                    4                  ,2022
