Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,year
Bills,                    214                  ,                    66                  ,                    35                  ,                    16                  ,                    138                  ,                    46.5                  ,                    108                  ,                    24.4                  ,                    1014                  ,2021
Eagles,                    217                  ,                    93                  ,                    29                  ,                    14                  ,                    208                  ,                    50.9                  ,                    115                  ,                    25.1                  ,                    1065                  ,2021
Cardinals,                    207                  ,                    79                  ,                    30                  ,                    14                  ,                    192                  ,                    52.3                  ,                    109                  ,                    25.6                  ,                    1028                  ,2021
Chargers,                    216                  ,                    107                  ,                    22                  ,                    7                  ,                    199                  ,                    55.7                  ,                    144                  ,                    28.3                  ,                    1103                  ,2021
Saints,                    240                  ,                    89                  ,                    21                  ,                    9                  ,                    185                  ,                    50.1                  ,                    84                  ,                    19.7                  ,                    1064                  ,2021
Bears,                    211                  ,                    81                  ,                    24                  ,                    12                  ,                    170                  ,                    54.1                  ,                    116                  ,                    24                  ,                    1009                  ,2021
Broncos,                    225                  ,                    101                  ,                    26                  ,                    11                  ,                    192                  ,                    56.3                  ,                    99                  ,                    22.4                  ,                    1039                  ,2021
Lions,                    204                  ,                    92                  ,                    14                  ,                    9                  ,                    211                  ,                    58.8                  ,                    135                  ,                    26.1                  ,                    1092                  ,2021
Browns,                    219                  ,                    86                  ,                    25                  ,                    16                  ,                    184                  ,                    50.1                  ,                    108                  ,                    24.7                  ,                    1056                  ,2021
Jaguars,                    221                  ,                    95                  ,                    21                  ,                    14                  ,                    198                  ,                    52.5                  ,                    124                  ,                    25.2                  ,                    1068                  ,2021
Jets,                    223                  ,                    99                  ,                    21                  ,                    13                  ,                    234                  ,                    58.4                  ,                    129                  ,                    24.6                  ,                    1145                  ,2021
Falcons,                    217                  ,                    105                  ,                    22                  ,                    11                  ,                    214                  ,                    54.7                  ,                    143                  ,                    27.6                  ,                    1114                  ,2021
Colts,                    210                  ,                    85                  ,                    21                  ,                    12                  ,                    213                  ,                    54.6                  ,                    101                  ,                    24                  ,                    1050                  ,2021
Patriots,                    211                  ,                    77                  ,                    32                  ,                    17                  ,                    176                  ,                    55.2                  ,                    111                  ,                    23.9                  ,                    1038                  ,2021
Bengals,                    221                  ,                    92                  ,                    18                  ,                    7                  ,                    213                  ,                    50.7                  ,                    107                  ,                    26.3                  ,                    1075                  ,2021
Raiders,                    230                  ,                    91                  ,                    29                  ,                    21                  ,                    202                  ,                    50.5                  ,                    109                  ,                    23.6                  ,                    1103                  ,2021
Chiefs,                    199                  ,                    80                  ,                    31                  ,                    19                  ,                    209                  ,                    52.1                  ,                    121                  ,                    28.9                  ,                    1060                  ,2021
Rams,                    223                  ,                    92                  ,                    32                  ,                    17                  ,                    214                  ,                    51.4                  ,                    111                  ,                    25.1                  ,                    1118                  ,2021
Packers,                    203                  ,                    87                  ,                    33                  ,                    15                  ,                    194                  ,                    51.2                  ,                    120                  ,                    30.4                  ,                    1037                  ,2021
49ers,                    220                  ,                    88                  ,                    25                  ,                    11                  ,                    180                  ,                    48.4                  ,                    97                  ,                    22.1                  ,                    1043                  ,2021
Seahawks,                    224                  ,                    88                  ,                    31                  ,                    13                  ,                    240                  ,                    54.2                  ,                    124                  ,                    24.4                  ,                    1201                  ,2021
Chargers,                    199                  ,                    78                  ,                    15                  ,                    6                  ,                    175                  ,                    56.4                  ,                    119                  ,                    26                  ,                    1002                  ,2022
Buccaneers,                    236                  ,                    87                  ,                    24                  ,                    14                  ,                    186                  ,                    51.1                  ,                    103                  ,                    22.5                  ,                    1073                  ,2022
Jets,                    244                  ,                    93                  ,                    26                  ,                    11                  ,                    166                  ,                    47.8                  ,                    117                  ,                    23.8                  ,                    1093                  ,2022
Steelers,                    216                  ,                    85                  ,                    21                  ,                    13                  ,                    196                  ,                    59                  ,                    95                  ,                    21.5                  ,                    1024                  ,2022
Cardinals,                    203                  ,                    87                  ,                    16                  ,                    8                  ,                    218                  ,                    52.7                  ,                    124                  ,                    27.8                  ,                    1075                  ,2022
Browns,                    215                  ,                    85                  ,                    18                  ,                    8                  ,                    166                  ,                    52.7                  ,                    129                  ,                    26.4                  ,                    1041                  ,2022
Cowboys,                    231                  ,                    87                  ,                    22                  ,                    12                  ,                    174                  ,                    50.4                  ,                    119                  ,                    23.9                  ,                    1101                  ,2022
Broncos,                    220                  ,                    75                  ,                    14                  ,                    9                  ,                    180                  ,                    45.9                  ,                    109                  ,                    24.9                  ,                    1079                  ,2022
Commanders,                    210                  ,                    67                  ,                    25                  ,                    12                  ,                    155                  ,                    50.3                  ,                    102                  ,                    23.1                  ,                    998                  ,2022
Colts,                    224                  ,                    85                  ,                    25                  ,                    13                  ,                    184                  ,                    50.4                  ,                    127                  ,                    24.8                  ,                    1092                  ,2022
Vikings,                    215                  ,                    82                  ,                    29                  ,                    11                  ,                    224                  ,                    54.9                  ,                    113                  ,                    24.4                  ,                    1118                  ,2022
Eagles,                    223                  ,                    86                  ,                    25                  ,                    15                  ,                    186                  ,                    53.1                  ,                    115                  ,                    25.8                  ,                    1072                  ,2022
Texans,                    221                  ,                    86                  ,                    21                  ,                    13                  ,                    196                  ,                    58.3                  ,                    150                  ,                    26.2                  ,                    1134                  ,2022
Bears,                    204                  ,                    100                  ,                    15                  ,                    6                  ,                    184                  ,                    57                  ,                    151                  ,                    27.9                  ,                    1043                  ,2022
Titans,                    225                  ,                    77                  ,                    26                  ,                    19                  ,                    215                  ,                    49                  ,                    93                  ,                    23.8                  ,                    1100                  ,2022
Saints,                    233                  ,                    97                  ,                    19                  ,                    8                  ,                    159                  ,                    49.4                  ,                    122                  ,                    24.8                  ,                    1076                  ,2022
Ravens,                    209                  ,                    73                  ,                    24                  ,                    15                  ,                    206                  ,                    52.3                  ,                    91                  ,                    22.4                  ,                    1047                  ,2022
Jaguars,                    220                  ,                    95                  ,                    31                  ,                    10                  ,                    211                  ,                    54.8                  ,                    114                  ,                    24.3                  ,                    1106                  ,2022
Patriots,                    241                  ,                    97                  ,                    27                  ,                    10                  ,                    194                  ,                    53.3                  ,                    90                  ,                    20.4                  ,                    1091                  ,2022
Giants,                    205                  ,                    72                  ,                    17                  ,                    11                  ,                    200                  ,                    57.3                  ,                    134                  ,                    28.6                  ,                    1078                  ,2022
Lions,                    204                  ,                    92                  ,                    27                  ,                    15                  ,                    209                  ,                    59.2                  ,                    135                  ,                    28.3                  ,                    1076                  ,2022
Rams,                    208                  ,                    84                  ,                    20                  ,                    13                  ,                    203                  ,                    54.1                  ,                    106                  ,                    23.3                  ,                    1049                  ,2022
49ers,                    218                  ,                    85                  ,                    25                  ,                    10                  ,                    188                  ,                    48.3                  ,                    77                  ,                    19.8                  ,                    1026                  ,2022
Raiders,                    206                  ,                    86                  ,                    20                  ,                    11                  ,                    206                  ,                    51.6                  ,                    126                  ,                    27.4                  ,                    1077                  ,2022
Bengals,                    212                  ,                    84                  ,                    23                  ,                    9                  ,                    173                  ,                    52.6                  ,                    102                  ,                    25.1                  ,                    996                  ,2022
Panthers,                    231                  ,                    95                  ,                    18                  ,                    8                  ,                    194                  ,                    50.6                  ,                    125                  ,                    25.6                  ,                    1103                  ,2022
Seahawks,                    227                  ,                    96                  ,                    28                  ,                    11                  ,                    188                  ,                    54.8                  ,                    130                  ,                    24.8                  ,                    1117                  ,2022
Packers,                    194                  ,                    73                  ,                    19                  ,                    11                  ,                    163                  ,                    51.9                  ,                    129                  ,                    26.9                  ,                    991                  ,2022
Falcons,                    220                  ,                    101                  ,                    17                  ,                    7                  ,                    200                  ,                    53.8                  ,                    136                  ,                    27.2                  ,                    1082                  ,2022
Dolphins,                    233                  ,                    97                  ,                    31                  ,                    15                  ,                    200                  ,                    48.1                  ,                    98                  ,                    23.2                  ,                    1086                  ,2022
Bills,                    208                  ,                    78                  ,                    33                  ,                    19                  ,                    181                  ,                    50                  ,                    103                  ,                    26.6                  ,                    997                  ,2022
Chiefs,                    222                  ,                    85                  ,                    35                  ,                    20                  ,                    207                  ,                    50.7                  ,                    102                  ,                    24.3                  ,                    1093                  ,2022
Browns,                    230                  ,                    67                  ,                    15                  ,                    6                  ,                    136                  ,                    44.3                  ,                    87                  ,                    20.7                  ,                    1004                  ,2023
Panthers,                    221                  ,                    84                  ,                    10                  ,                    7                  ,                    162                  ,                    52.4                  ,                    122                  ,                    24                  ,                    1016                  ,2023
Giants,                    216                  ,                    80                  ,                    19                  ,                    10                  ,                    191                  ,                    51.5                  ,                    134                  ,                    28.2                  ,                    1091                  ,2023
Bears,                    222                  ,                    98                  ,                    23                  ,                    10                  ,                    196                  ,                    47.8                  ,                    88                  ,                    22.7                  ,                    1035                  ,2023
Chargers,                    232                  ,                    89                  ,                    32                  ,                    19                  ,                    203                  ,                    52.2                  ,                    110                  ,                    23.6                  ,                    1113                  ,2023
Buccaneers,                    225                  ,                    92                  ,                    25                  ,                    12                  ,                    213                  ,                    52.7                  ,                    101                  ,                    23.9                  ,                    1081                  ,2023
Saints,                    226                  ,                    78                  ,                    26                  ,                    11                  ,                    167                  ,                    50.2                  ,                    100                  ,                    21.6                  ,                    1054                  ,2023
Jets,                    242                  ,                    90                  ,                    16                  ,                    7                  ,                    150                  ,                    47.9                  ,                    111                  ,                    21.5                  ,                    1087                  ,2023
Texans,                    227                  ,                    81                  ,                    29                  ,                    16                  ,                    185                  ,                    48.4                  ,                    110                  ,                    23.5                  ,                    1079                  ,2023
Colts,                    240                  ,                    89                  ,                    26                  ,                    17                  ,                    192                  ,                    51.9                  ,                    123                  ,                    23.8                  ,                    1137                  ,2023
Steelers,                    233                  ,                    91                  ,                    18                  ,                    8                  ,                    186                  ,                    53.4                  ,                    95                  ,                    20.9                  ,                    1074                  ,2023
Cowboys,                    211                  ,                    79                  ,                    37                  ,                    19                  ,                    166                  ,                    53.9                  ,                    108                  ,                    23.5                  ,                    1014                  ,2023
Jaguars,                    230                  ,                    84                  ,                    41                  ,                    21                  ,                    198                  ,                    49                  ,                    99                  ,                    23.5                  ,                    1078                  ,2023
Rams,                    228                  ,                    88                  ,                    30                  ,                    16                  ,                    193                  ,                    52.6                  ,                    108                  ,                    24.9                  ,                    1078                  ,2023
Falcons,                    228                  ,                    77                  ,                    23                  ,                    11                  ,                    183                  ,                    53.8                  ,                    105                  ,                    21                  ,                    1090                  ,2023
Eagles,                    233                  ,                    108                  ,                    34                  ,                    19                  ,                    222                  ,                    52.2                  ,                    111                  ,                    27.1                  ,                    1105                  ,2023
Cardinals,                    205                  ,                    97                  ,                    15                  ,                    7                  ,                    198                  ,                    57.1                  ,                    141                  ,                    27.1                  ,                    1060                  ,2023
Lions,                    202                  ,                    75                  ,                    26                  ,                    15                  ,                    209                  ,                    56.3                  ,                    91                  ,                    22.3                  ,                    1037                  ,2023
Packers,                    224                  ,                    92                  ,                    30                  ,                    14                  ,                    189                  ,                    55.3                  ,                    120                  ,                    24.3                  ,                    1061                  ,2023
Vikings,                    232                  ,                    96                  ,                    25                  ,                    18                  ,                    208                  ,                    48.8                  ,                    104                  ,                    23.3                  ,                    1095                  ,2023
Patriots,                    237                  ,                    86                  ,                    19                  ,                    10                  ,                    181                  ,                    48.9                  ,                    100                  ,                    20.8                  ,                    1091                  ,2023
Broncos,                    202                  ,                    67                  ,                    34                  ,                    16                  ,                    201                  ,                    52.6                  ,                    119                  ,                    25.4                  ,                    1083                  ,2023
Chiefs,                    224                  ,                    83                  ,                    28                  ,                    13                  ,                    169                  ,                    49.7                  ,                    107                  ,                    24.8                  ,                    1045                  ,2023
Bills,                    215                  ,                    83                  ,                    19                  ,                    10                  ,                    183                  ,                    50.4                  ,                    96                  ,                    23.5                  ,                    1015                  ,2023
Bengals,                    213                  ,                    87                  ,                    15                  ,                    7                  ,                    201                  ,                    55.2                  ,                    127                  ,                    27.8                  ,                    1055                  ,2023
Raiders,                    227                  ,                    94                  ,                    26                  ,                    14                  ,                    187                  ,                    49.7                  ,                    117                  ,                    24.4                  ,                    1089                  ,2023
Commanders,                    226                  ,                    94                  ,                    21                  ,                    13                  ,                    218                  ,                    55                  ,                    121                  ,                    25.2                  ,                    1117                  ,2023
Titans,                    231                  ,                    89                  ,                    21                  ,                    12                  ,                    189                  ,                    48.8                  ,                    103                  ,                    21.5                  ,                    1096                  ,2023
Ravens,                    250                  ,                    91                  ,                    32                  ,                    13                  ,                    175                  ,                    45.6                  ,                    96                  ,                    23.1                  ,                    1109                  ,2023
Seahawks,                    231                  ,                    107                  ,                    26                  ,                    13                  ,                    202                  ,                    51.8                  ,                    143                  ,                    27.8                  ,                    1147                  ,2023
Dolphins,                    216                  ,                    84                  ,                    30                  ,                    14                  ,                    186                  ,                    49                  ,                    109                  ,                    25.2                  ,                    1057                  ,2023
49ers,                    215                  ,                    88                  ,                    28                  ,                    14                  ,                    190                  ,                    46.3                  ,                    97                  ,                    26.3                  ,                    1038                  ,2023
Browns,                    224                  ,                    81                  ,                    18                  ,                    8                  ,                    176                  ,                    55.7                  ,                    108                  ,                    22.1                  ,                    1071                  ,2024
Eagles,                    211                  ,                    75                  ,                    30                  ,                    19                  ,                    160                  ,                    47.5                  ,                    108                  ,                    26                  ,                    1031                  ,2024
Giants,                    216                  ,                    87                  ,                    21                  ,                    12                  ,                    177                  ,                    50.7                  ,                    129                  ,                    25.6                  ,                    1088                  ,2024
Bears,                    213                  ,                    80                  ,                    19                  ,                    9                  ,                    177                  ,                    54.5                  ,                    129                  ,                    26.6                  ,                    1071                  ,2024
Texans,                    220                  ,                    79                  ,                    26                  ,                    17                  ,                    172                  ,                    52.8                  ,                    107                  ,                    23.9                  ,                    1077                  ,2024
Broncos,                    236                  ,                    88                  ,                    30                  ,                    16                  ,                    203                  ,                    51.6                  ,                    82                  ,                    19.3                  ,                    1126                  ,2024
Chiefs,                    215                  ,                    93                  ,                    23                  ,                    12                  ,                    191                  ,                    50.9                  ,                    112                  ,                    26.8                  ,                    1057                  ,2024
Cowboys,                    205                  ,                    75                  ,                    25                  ,                    17                  ,                    175                  ,                    50.1                  ,                    141                  ,                    29.2                  ,                    1077                  ,2024
Steelers,                    204                  ,                    72                  ,                    22                  ,                    15                  ,                    193                  ,                    50.5                  ,                    108                  ,                    26.2                  ,                    1067                  ,2024
Raiders,                    221                  ,                    88                  ,                    13                  ,                    10                  ,                    194                  ,                    52.4                  ,                    102                  ,                    22.5                  ,                    1090                  ,2024
Chargers,                    224                  ,                    80                  ,                    29                  ,                    18                  ,                    170                  ,                    46.3                  ,                    108                  ,                    25.4                  ,                    1074                  ,2024
Colts,                    234                  ,                    104                  ,                    21                  ,                    11                  ,                    191                  ,                    50.5                  ,                    127                  ,                    23.9                  ,                    1150                  ,2024
Commanders,                    207                  ,                    79                  ,                    24                  ,                    16                  ,                    175                  ,                    57                  ,                    122                  ,                    24.9                  ,                    1064                  ,2024
Saints,                    224                  ,                    92                  ,                    27                  ,                    14                  ,                    194                  ,                    53                  ,                    133                  ,                    27.2                  ,                    1161                  ,2024
Buccaneers,                    210                  ,                    80                  ,                    30                  ,                    19                  ,                    212                  ,                    50.7                  ,                    94                  ,                    24.2                  ,                    1109                  ,2024
Titans,                    213                  ,                    88                  ,                    13                  ,                    10                  ,                    157                  ,                    50                  ,                    118                  ,                    23.5                  ,                    1039                  ,2024
Patriots,                    215                  ,                    93                  ,                    21                  ,                    11                  ,                    189                  ,                    54.6                  ,                    127                  ,                    25                  ,                    1103                  ,2024
Bengals,                    207                  ,                    87                  ,                    27                  ,                    16                  ,                    192                  ,                    51.6                  ,                    137                  ,                    28.6                  ,                    1114                  ,2024
Dolphins,                    209                  ,                    75                  ,                    20                  ,                    10                  ,                    190                  ,                    52                  ,                    97                  ,                    24                  ,                    1054                  ,2024
Panthers,                    223                  ,                    112                  ,                    15                  ,                    9                  ,                    205                  ,                    56.9                  ,                    179                  ,                    30.2                  ,                    1196                  ,2024
Jets,                    215                  ,                    83                  ,                    21                  ,                    16                  ,                    171                  ,                    52.3                  ,                    129                  ,                    25.6                  ,                    1111                  ,2024
Seahawks,                    224                  ,                    83                  ,                    20                  ,                    10                  ,                    193                  ,                    52                  ,                    107                  ,                    23.7                  ,                    1099                  ,2024
Falcons,                    212                  ,                    96                  ,                    26                  ,                    14                  ,                    200                  ,                    49.5                  ,                    131                  ,                    28.6                  ,                    1105                  ,2024
Lions,                    185                  ,                    60                  ,                    29                  ,                    12                  ,                    198                  ,                    53.1                  ,                    86                  ,                    23.3                  ,                    1051                  ,2024
Jaguars,                    225                  ,                    97                  ,                    24                  ,                    14                  ,                    219                  ,                    56.3                  ,                    137                  ,                    26.8                  ,                    1165                  ,2024
Bills,                    201                  ,                    88                  ,                    32                  ,                    17                  ,                    217                  ,                    54.8                  ,                    109                  ,                    25.1                  ,                    1077                  ,2024
Rams,                    204                  ,                    83                  ,                    17                  ,                    9                  ,                    202                  ,                    57.1                  ,                    117                  ,                    24.5                  ,                    1090                  ,2024
Vikings,                    219                  ,                    78                  ,                    35                  ,                    13                  ,                    218                  ,                    52.5                  ,                    83                  ,                    21.2                  ,                    1108                  ,2024
49ers,                    216                  ,                    93                  ,                    26                  ,                    17                  ,                    181                  ,                    53.6                  ,                    118                  ,                    24.8                  ,                    1061                  ,2024
Cardinals,                    208                  ,                    91                  ,                    24                  ,                    14                  ,                    200                  ,                    54                  ,                    124                  ,                    26.7                  ,                    1083                  ,2024
Ravens,                    226                  ,                    90                  ,                    28                  ,                    12                  ,                    218                  ,                    55                  ,                    69                  ,                    18                  ,                    1095                  ,2024
