Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,year
Titans,                    628                  ,                    395                  ,                    62.9                  ,                    7.1                  ,                    4485                  ,                    24                  ,                    16                  ,                    86.4                  ,                    204                  ,                    32.5                  ,                    60                  ,                    11                  ,                    68T                  ,                    43                  ,2021
Patriots,                    538                  ,                    319                  ,                    59.3                  ,                    6.4                  ,                    3437                  ,                    21                  ,                    23                  ,                    73.3                  ,                    176                  ,                    32.7                  ,                    38                  ,                    4                  ,                    67T                  ,                    36                  ,2021
Colts,                    597                  ,                    390                  ,                    65.3                  ,                    7                  ,                    4203                  ,                    32                  ,                    19                  ,                    90.5                  ,                    213                  ,                    35.7                  ,                    43                  ,                    8                  ,                    69T                  ,                    33                  ,2021
Browns,                    576                  ,                    367                  ,                    63.7                  ,                    6.4                  ,                    3712                  ,                    29                  ,                    13                  ,                    89.4                  ,                    184                  ,                    31.9                  ,                    45                  ,                    5                  ,                    75T                  ,                    43                  ,2021
49ers,                    545                  ,                    372                  ,                    68.3                  ,                    7.1                  ,                    3874                  ,                    25                  ,                    9                  ,                    97                  ,                    180                  ,                    33                  ,                    54                  ,                    11                  ,                    91                  ,                    48                  ,2021
Saints,                    592                  ,                    369                  ,                    62.3                  ,                    7                  ,                    4131                  ,                    20                  ,                    18                  ,                    81.7                  ,                    185                  ,                    31.2                  ,                    56                  ,                    11                  ,                    84T                  ,                    46                  ,2021
Seahawks,                    658                  ,                    443                  ,                    67.3                  ,                    7.2                  ,                    4766                  ,                    24                  ,                    11                  ,                    93.6                  ,                    240                  ,                    36.5                  ,                    49                  ,                    8                  ,                    76T                  ,                    34                  ,2021
Eagles,                    589                  ,                    409                  ,                    69.4                  ,                    6.8                  ,                    3976                  ,                    28                  ,                    12                  ,                    95.4                  ,                    208                  ,                    35.3                  ,                    38                  ,                    7                  ,                    64                  ,                    29                  ,2021
Buccaneers,                    570                  ,                    364                  ,                    63.9                  ,                    6.6                  ,                    3792                  ,                    29                  ,                    10                  ,                    92.7                  ,                    186                  ,                    32.6                  ,                    44                  ,                    9                  ,                    69T                  ,                    45                  ,2022
Chargers,                    505                  ,                    310                  ,                    61.4                  ,                    7.3                  ,                    3693                  ,                    24                  ,                    14                  ,                    88                  ,                    175                  ,                    34.6                  ,                    54                  ,                    10                  ,                    60T                  ,                    40                  ,2022
Vikings,                    617                  ,                    408                  ,                    66.1                  ,                    7.7                  ,                    4756                  ,                    23                  ,                    15                  ,                    91.6                  ,                    224                  ,                    36.3                  ,                    61                  ,                    9                  ,                    68T                  ,                    38                  ,2022
Cardinals,                    593                  ,                    414                  ,                    69.8                  ,                    7                  ,                    4181                  ,                    29                  ,                    11                  ,                    98.2                  ,                    218                  ,                    36.8                  ,                    40                  ,                    5                  ,                    64                  ,                    36                  ,2022
Chiefs,                    619                  ,                    408                  ,                    65.9                  ,                    6.7                  ,                    4144                  ,                    33                  ,                    11                  ,                    95.3                  ,                    207                  ,                    33.4                  ,                    45                  ,                    7                  ,                    66T                  ,                    55                  ,2022
Jets,                    556                  ,                    347                  ,                    62.4                  ,                    6.3                  ,                    3526                  ,                    15                  ,                    12                  ,                    80.5                  ,                    166                  ,                    29.9                  ,                    38                  ,                    7                  ,                    56T                  ,                    45                  ,2022
Bengals,                    559                  ,                    329                  ,                    58.9                  ,                    6.8                  ,                    3828                  ,                    17                  ,                    13                  ,                    80.1                  ,                    173                  ,                    31                  ,                    53                  ,                    9                  ,                    75T                  ,                    30                  ,2022
Colts,                    537                  ,                    365                  ,                    68                  ,                    7.1                  ,                    3836                  ,                    25                  ,                    10                  ,                    96.2                  ,                    184                  ,                    34.3                  ,                    48                  ,                    8                  ,                    64T                  ,                    44                  ,2022
Jaguars,                    601                  ,                    385                  ,                    64.1                  ,                    7.1                  ,                    4258                  ,                    25                  ,                    14                  ,                    89.2                  ,                    211                  ,                    35.1                  ,                    52                  ,                    8                  ,                    62                  ,                    35                  ,2022
Lions,                    560                  ,                    353                  ,                    63                  ,                    7.9                  ,                    4446                  ,                    26                  ,                    12                  ,                    94.2                  ,                    209                  ,                    37.3                  ,                    60                  ,                    12                  ,                    54                  ,                    39                  ,2022
Raiders,                    590                  ,                    399                  ,                    67.6                  ,                    7.3                  ,                    4321                  ,                    25                  ,                    6                  ,                    98.8                  ,                    206                  ,                    34.9                  ,                    58                  ,                    5                  ,                    67                  ,                    27                  ,2022
Dolphins,                    624                  ,                    416                  ,                    66.7                  ,                    6.9                  ,                    4282                  ,                    27                  ,                    8                  ,                    95.3                  ,                    200                  ,                    32                  ,                    48                  ,                    11                  ,                    79                  ,                    40                  ,2022
Texans,                    522                  ,                    336                  ,                    64.4                  ,                    7.2                  ,                    3775                  ,                    15                  ,                    16                  ,                    82.7                  ,                    196                  ,                    37.6                  ,                    51                  ,                    3                  ,                    54T                  ,                    39                  ,2022
Bills,                    570                  ,                    362                  ,                    63.5                  ,                    6.5                  ,                    3721                  ,                    21                  ,                    17                  ,                    82.1                  ,                    181                  ,                    31.8                  ,                    48                  ,                    7                  ,                    67T                  ,                    40                  ,2022
Seahawks,                    547                  ,                    343                  ,                    62.7                  ,                    7.1                  ,                    3891                  ,                    23                  ,                    14                  ,                    87.3                  ,                    188                  ,                    34.4                  ,                    53                  ,                    5                  ,                    81                  ,                    45                  ,2022
Broncos,                    605                  ,                    392                  ,                    64.8                  ,                    6.3                  ,                    3819                  ,                    20                  ,                    15                  ,                    83.1                  ,                    180                  ,                    29.8                  ,                    46                  ,                    5                  ,                    63T                  ,                    36                  ,2022
Steelers,                    542                  ,                    332                  ,                    61.2                  ,                    7.5                  ,                    4066                  ,                    29                  ,                    20                  ,                    86.8                  ,                    196                  ,                    36.2                  ,                    55                  ,                    7                  ,                    98T                  ,                    40                  ,2022
Packers,                    478                  ,                    314                  ,                    65.7                  ,                    7.4                  ,                    3553                  ,                    22                  ,                    17                  ,                    88.3                  ,                    163                  ,                    34.1                  ,                    45                  ,                    14                  ,                    84T                  ,                    34                  ,2022
Cowboys,                    550                  ,                    345                  ,                    62.7                  ,                    6.8                  ,                    3767                  ,                    23                  ,                    16                  ,                    84.7                  ,                    174                  ,                    31.6                  ,                    43                  ,                    9                  ,                    75T                  ,                    54                  ,2022
Commanders,                    514                  ,                    308                  ,                    59.9                  ,                    6.9                  ,                    3531                  ,                    26                  ,                    9                  ,                    90.2                  ,                    155                  ,                    30.2                  ,                    45                  ,                    16                  ,                    61                  ,                    43                  ,2022
Browns,                    519                  ,                    315                  ,                    60.7                  ,                    6.8                  ,                    3547                  ,                    20                  ,                    11                  ,                    85.2                  ,                    166                  ,                    32                  ,                    50                  ,                    7                  ,                    75T                  ,                    34                  ,2022
Patriots,                    596                  ,                    364                  ,                    61.1                  ,                    6.8                  ,                    4029                  ,                    28                  ,                    19                  ,                    83.5                  ,                    194                  ,                    32.6                  ,                    54                  ,                    5                  ,                    63                  ,                    54                  ,2022
Eagles,                    556                  ,                    350                  ,                    63                  ,                    6.4                  ,                    3548                  ,                    22                  ,                    17                  ,                    81.6                  ,                    186                  ,                    33.4                  ,                    40                  ,                    7                  ,                    63T                  ,                    70                  ,2022
Rams,                    556                  ,                    375                  ,                    67.4                  ,                    7.4                  ,                    4092                  ,                    23                  ,                    16                  ,                    90.8                  ,                    203                  ,                    36.5                  ,                    44                  ,                    7                  ,                    57T                  ,                    38                  ,2022
Giants,                    568                  ,                    349                  ,                    61.4                  ,                    6.9                  ,                    3909                  ,                    21                  ,                    6                  ,                    89.9                  ,                    200                  ,                    35.2                  ,                    48                  ,                    5                  ,                    61                  ,                    41                  ,2022
Saints,                    536                  ,                    322                  ,                    60.1                  ,                    6.4                  ,                    3413                  ,                    17                  ,                    7                  ,                    83.8                  ,                    159                  ,                    29.7                  ,                    34                  ,                    8                  ,                    78T                  ,                    48                  ,2022
49ers,                    593                  ,                    389                  ,                    65.6                  ,                    6.9                  ,                    4096                  ,                    20                  ,                    20                  ,                    82.7                  ,                    188                  ,                    31.7                  ,                    48                  ,                    11                  ,                    77T                  ,                    44                  ,2022
Ravens,                    593                  ,                    394                  ,                    66.4                  ,                    7.2                  ,                    4252                  ,                    20                  ,                    14                  ,                    88.7                  ,                    206                  ,                    34.7                  ,                    50                  ,                    10                  ,                    60T                  ,                    48                  ,2022
Panthers,                    580                  ,                    383                  ,                    66                  ,                    7.1                  ,                    4098                  ,                    25                  ,                    10                  ,                    93.7                  ,                    194                  ,                    33.4                  ,                    51                  ,                    7                  ,                    63T                  ,                    35                  ,2022
Titans,                    671                  ,                    439                  ,                    65.4                  ,                    7.4                  ,                    4935                  ,                    29                  ,                    14                  ,                    93                  ,                    215                  ,                    32                  ,                    63                  ,                    9                  ,                    75T                  ,                    39                  ,2022
Falcons,                    561                  ,                    372                  ,                    66.3                  ,                    7.3                  ,                    4090                  ,                    26                  ,                    10                  ,                    95.7                  ,                    200                  ,                    35.6                  ,                    53                  ,                    10                  ,                    68T                  ,                    21                  ,2022
Bears,                    481                  ,                    323                  ,                    67.2                  ,                    8                  ,                    3840                  ,                    22                  ,                    14                  ,                    94.4                  ,                    184                  ,                    38.2                  ,                    50                  ,                    10                  ,                    68                  ,                    20                  ,2022
Commanders,                    598                  ,                    396                  ,                    66.2                  ,                    7.7                  ,                    4627                  ,                    39                  ,                    8                  ,                    105.7                  ,                    218                  ,                    36.4                  ,                    60                  ,                    12                  ,                    78T                  ,                    39                  ,2023
Chiefs,                    556                  ,                    340                  ,                    61.2                  ,                    6                  ,                    3352                  ,                    19                  ,                    8                  ,                    83.6                  ,                    169                  ,                    30.4                  ,                    39                  ,                    3                  ,                    60                  ,                    57                  ,2023
Chargers,                    598                  ,                    389                  ,                    65                  ,                    7.7                  ,                    4580                  ,                    26                  ,                    9                  ,                    96.4                  ,                    203                  ,                    34                  ,                    61                  ,                    14                  ,                    70                  ,                    48                  ,2023
Vikings,                    606                  ,                    426                  ,                    70.3                  ,                    7.1                  ,                    4288                  ,                    23                  ,                    11                  ,                    95.2                  ,                    208                  ,                    34.3                  ,                    51                  ,                    7                  ,                    70T                  ,                    43                  ,2023
Browns,                    535                  ,                    307                  ,                    57.4                  ,                    5.9                  ,                    3149                  ,                    23                  ,                    18                  ,                    74.7                  ,                    136                  ,                    25.4                  ,                    39                  ,                    7                  ,                    75T                  ,                    49                  ,2023
Jaguars,                    617                  ,                    404                  ,                    65.5                  ,                    7.1                  ,                    4355                  ,                    27                  ,                    16                  ,                    89.8                  ,                    198                  ,                    32.1                  ,                    47                  ,                    13                  ,                    76T                  ,                    40                  ,2023
Bengals,                    555                  ,                    364                  ,                    65.6                  ,                    8.1                  ,                    4480                  ,                    23                  ,                    17                  ,                    91.4                  ,                    201                  ,                    36.2                  ,                    65                  ,                    11                  ,                    86T                  ,                    44                  ,2023
Cowboys,                    509                  ,                    308                  ,                    60.5                  ,                    6.8                  ,                    3481                  ,                    21                  ,                    17                  ,                    80.8                  ,                    166                  ,                    32.6                  ,                    47                  ,                    7                  ,                    73T                  ,                    46                  ,2023
Lions,                    588                  ,                    371                  ,                    63.1                  ,                    7.8                  ,                    4562                  ,                    28                  ,                    16                  ,                    91.5                  ,                    209                  ,                    35.5                  ,                    69                  ,                    9                  ,                    92T                  ,                    41                  ,2023
Saints,                    558                  ,                    333                  ,                    59.7                  ,                    6.8                  ,                    3768                  ,                    22                  ,                    18                  ,                    79.6                  ,                    167                  ,                    29.9                  ,                    48                  ,                    9                  ,                    71T                  ,                    34                  ,2023
Jets,                    522                  ,                    313                  ,                    60                  ,                    6.1                  ,                    3182                  ,                    19                  ,                    17                  ,                    76                  ,                    150                  ,                    28.7                  ,                    39                  ,                    7                  ,                    81T                  ,                    48                  ,2023
Texans,                    565                  ,                    382                  ,                    67.6                  ,                    7.7                  ,                    4334                  ,                    17                  ,                    14                  ,                    90.1                  ,                    185                  ,                    32.7                  ,                    60                  ,                    15                  ,                    75T                  ,                    46                  ,2023
Panthers,                    481                  ,                    309                  ,                    64.2                  ,                    6.5                  ,                    3109                  ,                    19                  ,                    8                  ,                    88.8                  ,                    162                  ,                    33.7                  ,                    39                  ,                    9                  ,                    75T                  ,                    27                  ,2023
Rams,                    604                  ,                    367                  ,                    60.8                  ,                    7                  ,                    4195                  ,                    24                  ,                    10                  ,                    88                  ,                    193                  ,                    32                  ,                    57                  ,                    10                  ,                    80T                  ,                    41                  ,2023
Packers,                    523                  ,                    342                  ,                    65.4                  ,                    7.3                  ,                    3803                  ,                    21                  ,                    7                  ,                    94.7                  ,                    189                  ,                    36.1                  ,                    56                  ,                    3                  ,                    52T                  ,                    45                  ,2023
Bills,                    552                  ,                    363                  ,                    65.8                  ,                    6.7                  ,                    3676                  ,                    18                  ,                    18                  ,                    81.9                  ,                    183                  ,                    33.2                  ,                    44                  ,                    1                  ,                    48                  ,                    54                  ,2023
Seahawks,                    585                  ,                    390                  ,                    66.7                  ,                    7.3                  ,                    4259                  ,                    21                  ,                    11                  ,                    92.1                  ,                    202                  ,                    34.5                  ,                    57                  ,                    10                  ,                    54T                  ,                    47                  ,2023
Colts,                    568                  ,                    370                  ,                    65.1                  ,                    7.3                  ,                    4157                  ,                    21                  ,                    15                  ,                    88.2                  ,                    192                  ,                    33.8                  ,                    54                  ,                    8                  ,                    75T                  ,                    51                  ,2023
Buccaneers,                    611                  ,                    404                  ,                    66.1                  ,                    7.5                  ,                    4568                  ,                    23                  ,                    13                  ,                    92                  ,                    213                  ,                    34.9                  ,                    65                  ,                    9                  ,                    76T                  ,                    48                  ,2023
Dolphins,                    568                  ,                    380                  ,                    66.9                  ,                    7.3                  ,                    4132                  ,                    27                  ,                    15                  ,                    93                  ,                    186                  ,                    32.8                  ,                    57                  ,                    10                  ,                    75T                  ,                    56                  ,2023
Eagles,                    652                  ,                    425                  ,                    65.2                  ,                    7                  ,                    4551                  ,                    35                  ,                    9                  ,                    97.6                  ,                    222                  ,                    34                  ,                    56                  ,                    6                  ,                    69T                  ,                    43                  ,2023
Raiders,                    564                  ,                    376                  ,                    66.7                  ,                    6.9                  ,                    3900                  ,                    21                  ,                    13                  ,                    89.3                  ,                    187                  ,                    33.2                  ,                    43                  ,                    11                  ,                    79T                  ,                    46                  ,2023
Patriots,                    575                  ,                    370                  ,                    64.4                  ,                    6.6                  ,                    3791                  ,                    19                  ,                    10                  ,                    87                  ,                    181                  ,                    31.5                  ,                    48                  ,                    6                  ,                    51                  ,                    36                  ,2023
Cardinals,                    506                  ,                    347                  ,                    68.6                  ,                    7.6                  ,                    3846                  ,                    32                  ,                    11                  ,                    102.9                  ,                    198                  ,                    39.1                  ,                    49                  ,                    10                  ,                    63T                  ,                    33                  ,2023
Falcons,                    549                  ,                    340                  ,                    61.9                  ,                    6.8                  ,                    3707                  ,                    24                  ,                    8                  ,                    90.3                  ,                    183                  ,                    33.3                  ,                    49                  ,                    6                  ,                    61T                  ,                    42                  ,2023
Giants,                    582                  ,                    371                  ,                    63.8                  ,                    7.1                  ,                    4157                  ,                    21                  ,                    18                  ,                    84.1                  ,                    191                  ,                    32.8                  ,                    43                  ,                    10                  ,                    80                  ,                    34                  ,2023
Bears,                    617                  ,                    410                  ,                    66.4                  ,                    6.9                  ,                    4245                  ,                    31                  ,                    22                  ,                    88                  ,                    196                  ,                    31.8                  ,                    48                  ,                    10                  ,                    75T                  ,                    30                  ,2023
Broncos,                    572                  ,                    382                  ,                    66.8                  ,                    7.5                  ,                    4302                  ,                    29                  ,                    11                  ,                    98                  ,                    201                  ,                    35.1                  ,                    56                  ,                    8                  ,                    68T                  ,                    42                  ,2023
Steelers,                    573                  ,                    348                  ,                    60.7                  ,                    7.3                  ,                    4164                  ,                    23                  ,                    16                  ,                    84.7                  ,                    186                  ,                    32.5                  ,                    63                  ,                    6                  ,                    80T                  ,                    47                  ,2023
Ravens,                    634                  ,                    384                  ,                    60.6                  ,                    5.9                  ,                    3717                  ,                    18                  ,                    18                  ,                    74.6                  ,                    175                  ,                    27.6                  ,                    46                  ,                    6                  ,                    71T                  ,                    60                  ,2023
Titans,                    571                  ,                    387                  ,                    67.8                  ,                    7.3                  ,                    4181                  ,                    20                  ,                    6                  ,                    96.4                  ,                    189                  ,                    33.1                  ,                    52                  ,                    11                  ,                    59T                  ,                    45                  ,2023
49ers,                    621                  ,                    410                  ,                    66                  ,                    6.4                  ,                    3949                  ,                    20                  ,                    22                  ,                    79.6                  ,                    190                  ,                    30.6                  ,                    45                  ,                    5                  ,                    60T                  ,                    48                  ,2023
Browns,                    511                  ,                    316                  ,                    61.8                  ,                    7.6                  ,                    3878                  ,                    26                  ,                    4                  ,                    98.9                  ,                    176                  ,                    34.4                  ,                    56                  ,                    9                  ,                    93T                  ,                    41                  ,2024
Bengals,                    573                  ,                    372                  ,                    64.9                  ,                    7                  ,                    4016                  ,                    30                  ,                    15                  ,                    91.9                  ,                    192                  ,                    33.5                  ,                    48                  ,                    10                  ,                    84T                  ,                    36                  ,2024
Cowboys,                    512                  ,                    349                  ,                    68.2                  ,                    7.9                  ,                    4045                  ,                    28                  ,                    13                  ,                    99.4                  ,                    175                  ,                    34.2                  ,                    47                  ,                    12                  ,                    86T                  ,                    52                  ,2024
Raiders,                    561                  ,                    370                  ,                    66                  ,                    7.1                  ,                    3989                  ,                    29                  ,                    10                  ,                    96.5                  ,                    194                  ,                    34.6                  ,                    47                  ,                    5                  ,                    62T                  ,                    38                  ,2024
