Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,year
Raiders,                    444                  ,                    1897                  ,                    4.3                  ,                    18                  ,                    13                  ,                    5                  ,                    70T                  ,                    95                  ,                    21.4                  ,                    3                  ,2012
Saints,                    457                  ,                    2361                  ,                    5.2                  ,                    18                  ,                    19                  ,                    7                  ,                    91T                  ,                    116                  ,                    25.4                  ,                    6                  ,2012
Jaguars,                    545                  ,                    2256                  ,                    4.1                  ,                    19                  ,                    9                  ,                    4                  ,                    53                  ,                    133                  ,                    24.4                  ,                    4                  ,2012
Cowboys,                    441                  ,                    2003                  ,                    4.5                  ,                    17                  ,                    15                  ,                    1                  ,                    43                  ,                    92                  ,                    20.9                  ,                    4                  ,2012
Cardinals,                    506                  ,                    2192                  ,                    4.3                  ,                    12                  ,                    14                  ,                    1                  ,                    46                  ,                    107                  ,                    21.2                  ,                    5                  ,2012
Bills,                    471                  ,                    2063                  ,                    4.4                  ,                    10                  ,                    19                  ,                    2                  ,                    80T                  ,                    98                  ,                    20.8                  ,                    7                  ,2013
Seahawks,                    422                  ,                    1626                  ,                    3.8                  ,                    4                  ,                    6                  ,                    1                  ,                    51                  ,                    83                  ,                    19.7                  ,                    7                  ,2013
Niners,                    397                  ,                    1535                  ,                    3.9                  ,                    11                  ,                    5                  ,                    0                  ,                    30                  ,                    77                  ,                    19.4                  ,                    6                  ,2013
Eagles,                    443                  ,                    1668                  ,                    3.8                  ,                    12                  ,                    7                  ,                    0                  ,                    35                  ,                    100                  ,                    22.6                  ,                    15                  ,2013
Jets,                    421                  ,                    1412                  ,                    3.4                  ,                    9                  ,                    6                  ,                    2                  ,                    63T                  ,                    68                  ,                    16.2                  ,                    5                  ,2013
Chargers,                    376                  ,                    1725                  ,                    4.6                  ,                    14                  ,                    6                  ,                    1                  ,                    46                  ,                    98                  ,                    26.1                  ,                    4                  ,2013
Panthers,                    352                  ,                    1391                  ,                    4                  ,                    4                  ,                    8                  ,                    1                  ,                    46                  ,                    70                  ,                    19.9                  ,                    5                  ,2013
Bengals,                    385                  ,                    1544                  ,                    4                  ,                    6                  ,                    6                  ,                    3                  ,                    51                  ,                    72                  ,                    18.7                  ,                    4                  ,2013
Patriots,                    481                  ,                    2145                  ,                    4.5                  ,                    11                  ,                    10                  ,                    0                  ,                    34                  ,                    110                  ,                    22.9                  ,                    6                  ,2013
Titans,                    446                  ,                    1795                  ,                    4                  ,                    21                  ,                    9                  ,                    1                  ,                    60                  ,                    108                  ,                    24.2                  ,                    9                  ,2013
