Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,year
Cardinals,                    415                  ,                    4619                  ,                    11.1                  ,                    27                  ,                    62                  ,                    11                  ,                    77                  ,                    214                  ,                    51.6                  ,                    2                  ,2021
Rams,                    406                  ,                    4893                  ,                    12                  ,                    41                  ,                    65                  ,                    18                  ,                    79                  ,                    233                  ,                    57.4                  ,                    2                  ,2021
Dolphins,                    404                  ,                    3936                  ,                    9.7                  ,                    21                  ,                    45                  ,                    8                  ,                    65                  ,                    206                  ,                    51                  ,                    2                  ,2021
Packers,                    402                  ,                    4526                  ,                    11.3                  ,                    39                  ,                    61                  ,                    11                  ,                    75                  ,                    235                  ,                    58.5                  ,                    5                  ,2021
Vikings,                    398                  ,                    4450                  ,                    11.2                  ,                    34                  ,                    63                  ,                    10                  ,                    64                  ,                    202                  ,                    50.8                  ,                    3                  ,2021
Ravens,                    396                  ,                    4267                  ,                    10.8                  ,                    21                  ,                    54                  ,                    6                  ,                    49T                  ,                    209                  ,                    52.8                  ,                    6                  ,2021
Lions,                    396                  ,                    3884                  ,                    9.8                  ,                    23                  ,                    48                  ,                    5                  ,                    75                  ,                    193                  ,                    48.7                  ,                    2                  ,2021
Bengals,                    384                  ,                    4806                  ,                    12.5                  ,                    36                  ,                    63                  ,                    16                  ,                    82                  ,                    208                  ,                    54.2                  ,                    5                  ,2021
Falcons,                    377                  ,                    3987                  ,                    10.6                  ,                    20                  ,                    44                  ,                    7                  ,                    64T                  ,                    196                  ,                    52                  ,                    7                  ,2021
Patriots,                    364                  ,                    4098                  ,                    11.3                  ,                    24                  ,                    60                  ,                    8                  ,                    75                  ,                    187                  ,                    51.4                  ,                    5                  ,2021
Jaguars,                    361                  ,                    3674                  ,                    10.2                  ,                    12                  ,                    44                  ,                    5                  ,                    58                  ,                    178                  ,                    49.3                  ,                    5                  ,2021
Titans,                    359                  ,                    3745                  ,                    10.4                  ,                    22                  ,                    35                  ,                    7                  ,                    57                  ,                    194                  ,                    54                  ,                    4                  ,2021
Jets,                    357                  ,                    3959                  ,                    11.1                  ,                    20                  ,                    52                  ,                    6                  ,                    62                  ,                    195                  ,                    54.6                  ,                    6                  ,2021
FootballTeam,                    356                  ,                    3746                  ,                    10.5                  ,                    21                  ,                    42                  ,                    7                  ,                    73                  ,                    181                  ,                    50.8                  ,                    4                  ,2021
Broncos,                    354                  ,                    3856                  ,                    10.9                  ,                    20                  ,                    46                  ,                    7                  ,                    64T                  ,                    179                  ,                    50.6                  ,                    2                  ,2021
Texans,                    354                  ,                    3630                  ,                    10.2                  ,                    21                  ,                    44                  ,                    8                  ,                    67                  ,                    162                  ,                    45.8                  ,                    5                  ,2021
Giants,                    351                  ,                    3463                  ,                    9.9                  ,                    15                  ,                    31                  ,                    6                  ,                    60                  ,                    171                  ,                    48.7                  ,                    4                  ,2021
Panthers,                    348                  ,                    3573                  ,                    10.3                  ,                    14                  ,                    36                  ,                    5                  ,                    64                  ,                    174                  ,                    50                  ,                    1                  ,2021
49ers,                    343                  ,                    4437                  ,                    12.9                  ,                    26                  ,                    63                  ,                    11                  ,                    83                  ,                    200                  ,                    58.3                  ,                    9                  ,2021
Bears,                    332                  ,                    3635                  ,                    11                  ,                    16                  ,                    40                  ,                    7                  ,                    64                  ,                    180                  ,                    54.2                  ,                    1                  ,2021
Colts,                    324                  ,                    3588                  ,                    11.1                  ,                    27                  ,                    42                  ,                    9                  ,                    76                  ,                    167                  ,                    51.5                  ,                    5                  ,2021
Seahawks,                    324                  ,                    3815                  ,                    11.8                  ,                    30                  ,                    56                  ,                    12                  ,                    84                  ,                    166                  ,                    51.2                  ,                    6                  ,2021
Browns,                    320                  ,                    3619                  ,                    11.3                  ,                    21                  ,                    47                  ,                    8                  ,                    71                  ,                    177                  ,                    55.3                  ,                    3                  ,2021
Eagles,                    307                  ,                    3585                  ,                    11.7                  ,                    20                  ,                    51                  ,                    5                  ,                    91T                  ,                    167                  ,                    54.4                  ,                    2                  ,2021
Saints,                    293                  ,                    3437                  ,                    11.7                  ,                    29                  ,                    41                  ,                    8                  ,                    72                  ,                    165                  ,                    56.3                  ,                    3                  ,2021
Buccaneers,                    499                  ,                    4746                  ,                    9.5                  ,                    26                  ,                    49                  ,                    8                  ,                    63                  ,                    240                  ,                    48.1                  ,                    5                  ,2022
Chargers,                    485                  ,                    4791                  ,                    9.9                  ,                    26                  ,                    49                  ,                    7                  ,                    55T                  ,                    232                  ,                    47.8                  ,                    6                  ,2022
Vikings,                    448                  ,                    4818                  ,                    10.8                  ,                    30                  ,                    49                  ,                    10                  ,                    66                  ,                    244                  ,                    54.5                  ,                    3                  ,2022
Chiefs,                    435                  ,                    5250                  ,                    12.1                  ,                    41                  ,                    73                  ,                    13                  ,                    67                  ,                    272                  ,                    62.5                  ,                    5                  ,2022
Cardinals,                    433                  ,                    3966                  ,                    9.2                  ,                    17                  ,                    40                  ,                    3                  ,                    77                  ,                    189                  ,                    43.6                  ,                    4                  ,2022
Bengals,                    418                  ,                    4520                  ,                    10.8                  ,                    35                  ,                    54                  ,                    10                  ,                    60                  ,                    221                  ,                    52.9                  ,                    2                  ,2022
Seahawks,                    399                  ,                    4282                  ,                    10.7                  ,                    30                  ,                    50                  ,                    6                  ,                    54                  ,                    206                  ,                    51.6                  ,                    4                  ,2022
Colts,                    398                  ,                    3854                  ,                    9.7                  ,                    17                  ,                    41                  ,                    4                  ,                    49                  ,                    193                  ,                    48.5                  ,                    8                  ,2022
Jaguars,                    394                  ,                    4148                  ,                    10.5                  ,                    25                  ,                    55                  ,                    3                  ,                    59                  ,                    208                  ,                    52.8                  ,                    2                  ,2022
Lions,                    383                  ,                    4444                  ,                    11.6                  ,                    29                  ,                    57                  ,                    12                  ,                    81                  ,                    228                  ,                    59.5                  ,                    2                  ,2022
Dolphins,                    368                  ,                    4765                  ,                    13                  ,                    30                  ,                    62                  ,                    14                  ,                    84                  ,                    220                  ,                    59.8                  ,                    3                  ,2022
Packers,                    364                  ,                    3890                  ,                    10.7                  ,                    27                  ,                    56                  ,                    7                  ,                    63                  ,                    186                  ,                    51.1                  ,                    8                  ,2022
Steelers,                    364                  ,                    3661                  ,                    10.1                  ,                    12                  ,                    44                  ,                    3                  ,                    57                  ,                    189                  ,                    51.9                  ,                    2                  ,2022
Bills,                    361                  ,                    4291                  ,                    11.9                  ,                    35                  ,                    51                  ,                    12                  ,                    98                  ,                    212                  ,                    58.7                  ,                    3                  ,2022
Raiders,                    359                  ,                    4182                  ,                    11.6                  ,                    28                  ,                    58                  ,                    10                  ,                    60                  ,                    193                  ,                    53.8                  ,                    5                  ,2022
Patriots,                    358                  ,                    3815                  ,                    10.7                  ,                    19                  ,                    57                  ,                    9                  ,                    53                  ,                    166                  ,                    46.4                  ,                    7                  ,2022
Jets,                    357                  ,                    4040                  ,                    11.3                  ,                    15                  ,                    47                  ,                    10                  ,                    79                  ,                    191                  ,                    53.5                  ,                    6                  ,2022
Cowboys,                    355                  ,                    3911                  ,                    11                  ,                    28                  ,                    50                  ,                    5                  ,                    68T                  ,                    194                  ,                    54.6                  ,                    2                  ,2022
Texans,                    352                  ,                    3642                  ,                    10.4                  ,                    20                  ,                    55                  ,                    7                  ,                    58                  ,                    159                  ,                    45.2                  ,                    2                  ,2022
Eagles,                    350                  ,                    4364                  ,                    12.5                  ,                    25                  ,                    63                  ,                    13                  ,                    78                  ,                    195                  ,                    55.7                  ,                    6                  ,2022
Rams,                    347                  ,                    3506                  ,                    10.1                  ,                    16                  ,                    38                  ,                    4                  ,                    75                  ,                    181                  ,                    52.2                  ,                    2                  ,2022
Giants,                    346                  ,                    3431                  ,                    9.9                  ,                    17                  ,                    28                  ,                    5                  ,                    65                  ,                    170                  ,                    49.1                  ,                    4                  ,2022
Broncos,                    345                  ,                    4007                  ,                    11.6                  ,                    18                  ,                    55                  ,                    12                  ,                    67                  ,                    166                  ,                    48.1                  ,                    1                  ,2022
Commanders,                    344                  ,                    3783                  ,                    11                  ,                    24                  ,                    46                  ,                    10                  ,                    75                  ,                    184                  ,                    53.5                  ,                    1                  ,2022
Saints,                    338                  ,                    3969                  ,                    11.7                  ,                    24                  ,                    45                  ,                    13                  ,                    68                  ,                    181                  ,                    53.6                  ,                    7                  ,2022
49ers,                    338                  ,                    4049                  ,                    12                  ,                    30                  ,                    56                  ,                    6                  ,                    57                  ,                    188                  ,                    55.6                  ,                    4                  ,2022
Browns,                    335                  ,                    3710                  ,                    11.1                  ,                    19                  ,                    44                  ,                    5                  ,                    55                  ,                    182                  ,                    54.3                  ,                    3                  ,2022
Ravens,                    300                  ,                    3202                  ,                    10.7                  ,                    19                  ,                    33                  ,                    6                  ,                    75T                  ,                    149                  ,                    49.7                  ,                    6                  ,2022
Titans,                    285                  ,                    3227                  ,                    11.3                  ,                    16                  ,                    41                  ,                    11                  ,                    69T                  ,                    153                  ,                    53.7                  ,                    2                  ,2022
Panthers,                    267                  ,                    3246                  ,                    12.2                  ,                    16                  ,                    49                  ,                    12                  ,                    75                  ,                    138                  ,                    51.7                  ,                    4                  ,2022
Falcons,                    257                  ,                    2927                  ,                    11.4                  ,                    17                  ,                    37                  ,                    5                  ,                    75T                  ,                    148                  ,                    57.6                  ,                    4                  ,2022
Bears,                    223                  ,                    2598                  ,                    11.6                  ,                    19                  ,                    38                  ,                    7                  ,                    56                  ,                    109                  ,                    48.9                  ,                    6                  ,2022
Cowboys,                    428                  ,                    4660                  ,                    10.9                  ,                    36                  ,                    64                  ,                    7                  ,                    92                  ,                    229                  ,                    53.5                  ,                    6                  ,2023
Vikings,                    424                  ,                    4700                  ,                    11.1                  ,                    30                  ,                    74                  ,                    7                  ,                    62                  ,                    220                  ,                    51.9                  ,                    4                  ,2023
Chiefs,                    421                  ,                    4383                  ,                    10.4                  ,                    28                  ,                    52                  ,                    8                  ,                    67                  ,                    216                  ,                    51.3                  ,                    7                  ,2023
Bengals,                    420                  ,                    4257                  ,                    10.1                  ,                    27                  ,                    46                  ,                    10                  ,                    80                  ,                    208                  ,                    49.5                  ,                    3                  ,2023
Jaguars,                    412                  ,                    4377                  ,                    10.6                  ,                    22                  ,                    51                  ,                    10                  ,                    65                  ,                    199                  ,                    48.3                  ,                    8                  ,2023
Chargers,                    409                  ,                    4312                  ,                    10.5                  ,                    24                  ,                    55                  ,                    7                  ,                    79                  ,                    204                  ,                    49.9                  ,                    8                  ,2023
Lions,                    408                  ,                    4606                  ,                    11.3                  ,                    30                  ,                    70                  ,                    9                  ,                    70                  ,                    228                  ,                    55.9                  ,                    4                  ,2023
Commanders,                    407                  ,                    4174                  ,                    10.3                  ,                    24                  ,                    48                  ,                    5                  ,                    51                  ,                    190                  ,                    46.7                  ,                    5                  ,2023
Saints,                    406                  ,                    4225                  ,                    10.4                  ,                    28                  ,                    52                  ,                    11                  ,                    58T                  ,                    199                  ,                    49                  ,                    0                  ,2023
Dolphins,                    393                  ,                    4698                  ,                    12                  ,                    30                  ,                    59                  ,                    12                  ,                    78                  ,                    223                  ,                    56.7                  ,                    4                  ,2023
Bills,                    385                  ,                    4306                  ,                    11.2                  ,                    29                  ,                    49                  ,                    9                  ,                    81                  ,                    199                  ,                    51.7                  ,                    6                  ,2023
Packers,                    374                  ,                    4210                  ,                    11.3                  ,                    32                  ,                    56                  ,                    7                  ,                    77                  ,                    211                  ,                    56.4                  ,                    5                  ,2023
Texans,                    372                  ,                    4578                  ,                    12.3                  ,                    27                  ,                    69                  ,                    10                  ,                    75                  ,                    215                  ,                    57.8                  ,                    3                  ,2023
Seahawks,                    371                  ,                    4167                  ,                    11.2                  ,                    23                  ,                    56                  ,                    6                  ,                    73                  ,                    189                  ,                    50.9                  ,                    0                  ,2023
Eagles,                    369                  ,                    4067                  ,                    11                  ,                    24                  ,                    50                  ,                    7                  ,                    63                  ,                    197                  ,                    53.4                  ,                    4                  ,2023
Buccaneers,                    364                  ,                    4044                  ,                    11.1                  ,                    28                  ,                    60                  ,                    12                  ,                    75                  ,                    188                  ,                    51.6                  ,                    7                  ,2023
Rams,                    361                  ,                    4300                  ,                    11.9                  ,                    26                  ,                    64                  ,                    8                  ,                    80                  ,                    206                  ,                    57.1                  ,                    4                  ,2023
Jets,                    356                  ,                    3373                  ,                    9.5                  ,                    11                  ,                    37                  ,                    3                  ,                    68                  ,                    156                  ,                    43.8                  ,                    2                  ,2023
Browns,                    355                  ,                    4011                  ,                    11.3                  ,                    24                  ,                    53                  ,                    15                  ,                    75                  ,                    173                  ,                    48.7                  ,                    5                  ,2023
Colts,                    355                  ,                    3882                  ,                    10.9                  ,                    18                  ,                    45                  ,                    11                  ,                    75                  ,                    178                  ,                    50.1                  ,                    3                  ,2023
Cardinals,                    355                  ,                    3430                  ,                    9.7                  ,                    18                  ,                    38                  ,                    3                  ,                    69                  ,                    173                  ,                    48.7                  ,                    2                  ,2023
Patriots,                    351                  ,                    3392                  ,                    9.7                  ,                    16                  ,                    34                  ,                    4                  ,                    58                  ,                    153                  ,                    43.6                  ,                    5                  ,2023
Panthers,                    350                  ,                    3245                  ,                    9.3                  ,                    13                  ,                    31                  ,                    5                  ,                    48T                  ,                    150                  ,                    42.9                  ,                    7                  ,2023
Raiders,                    348                  ,                    3666                  ,                    10.5                  ,                    20                  ,                    35                  ,                    5                  ,                    50                  ,                    182                  ,                    52.3                  ,                    3                  ,2023
Giants,                    338                  ,                    3351                  ,                    9.9                  ,                    15                  ,                    44                  ,                    7                  ,                    80                  ,                    141                  ,                    41.7                  ,                    3                  ,2023
Broncos,                    337                  ,                    3566                  ,                    10.6                  ,                    28                  ,                    44                  ,                    13                  ,                    60                  ,                    154                  ,                    45.7                  ,                    7                  ,2023
49ers,                    336                  ,                    4577                  ,                    13.6                  ,                    33                  ,                    75                  ,                    15                  ,                    76                  ,                    207                  ,                    61.6                  ,                    3                  ,2023
Ravens,                    328                  ,                    3881                  ,                    11.8                  ,                    27                  ,                    52                  ,                    9                  ,                    80                  ,                    180                  ,                    54.9                  ,                    6                  ,2023
Falcons,                    327                  ,                    3775                  ,                    11.5                  ,                    17                  ,                    46                  ,                    10                  ,                    75                  ,                    181                  ,                    55.4                  ,                    2                  ,2023
Steelers,                    323                  ,                    3421                  ,                    10.6                  ,                    13                  ,                    41                  ,                    9                  ,                    86                  ,                    153                  ,                    47.4                  ,                    6                  ,2023
Bears,                    321                  ,                    3421                  ,                    10.7                  ,                    19                  ,                    48                  ,                    5                  ,                    58T                  ,                    169                  ,                    52.6                  ,                    4                  ,2023
Titans,                    304                  ,                    3512                  ,                    11.6                  ,                    14                  ,                    54                  ,                    10                  ,                    70                  ,                    158                  ,                    52                  ,                    2                  ,2023
Bengals,                    460                  ,                    4918                  ,                    10.7                  ,                    43                  ,                    49                  ,                    12                  ,                    70                  ,                    253                  ,                    55                  ,                    5                  ,2024
Dolphins,                    413                  ,                    4036                  ,                    9.8                  ,                    22                  ,                    37                  ,                    3                  ,                    80                  ,                    221                  ,                    53.5                  ,                    4                  ,2024
Seahawks,                    413                  ,                    4379                  ,                    10.6                  ,                    21                  ,                    51                  ,                    4                  ,                    71T                  ,                    211                  ,                    51.1                  ,                    4                  ,2024
Raiders,                    410                  ,                    4117                  ,                    10                  ,                    19                  ,                    50                  ,                    4                  ,                    58                  ,                    209                  ,                    51                  ,                    0                  ,2024
Buccaneers,                    408                  ,                    4505                  ,                    11                  ,                    41                  ,                    58                  ,                    5                  ,                    57                  ,                    224                  ,                    54.9                  ,                    6                  ,2024
Chiefs,                    404                  ,                    4046                  ,                    10                  ,                    26                  ,                    41                  ,                    4                  ,                    54                  ,                    219                  ,                    54.2                  ,                    2                  ,2024
Lions,                    399                  ,                    4718                  ,                    11.8                  ,                    39                  ,                    62                  ,                    11                  ,                    82                  ,                    242                  ,                    60.6                  ,                    2                  ,2024
Cowboys,                    398                  ,                    4092                  ,                    10.3                  ,                    23                  ,                    47                  ,                    7                  ,                    65                  ,                    192                  ,                    48.2                  ,                    7                  ,2024
Browns,                    395                  ,                    3879                  ,                    9.8                  ,                    19                  ,                    39                  ,                    4                  ,                    89                  ,                    180                  ,                    45.6                  ,                    2                  ,2024
Jets,                    385                  ,                    4016                  ,                    10.4                  ,                    31                  ,                    52                  ,                    7                  ,                    71                  ,                    201                  ,                    52.2                  ,                    3                  ,2024
Broncos,                    379                  ,                    3808                  ,                    10                  ,                    30                  ,                    52                  ,                    6                  ,                    93                  ,                    172                  ,                    45.4                  ,                    6                  ,2024
Cardinals,                    374                  ,                    3859                  ,                    10.3                  ,                    21                  ,                    43                  ,                    3                  ,                    60                  ,                    191                  ,                    51.1                  ,                    5                  ,2024
Rams,                    367                  ,                    4096                  ,                    11.2                  ,                    22                  ,                    51                  ,                    7                  ,                    69T                  ,                    192                  ,                    52.3                  ,                    1                  ,2024
Giants,                    366                  ,                    3521                  ,                    9.6                  ,                    15                  ,                    34                  ,                    4                  ,                    59                  ,                    170                  ,                    46.4                  ,                    3                  ,2024
Commanders,                    365                  ,                    3932                  ,                    10.8                  ,                    29                  ,                    45                  ,                    10                  ,                    86                  ,                    192                  ,                    52.6                  ,                    4                  ,2024
Falcons,                    364                  ,                    4283                  ,                    11.8                  ,                    21                  ,                    54                  ,                    8                  ,                    60T                  ,                    198                  ,                    54.4                  ,                    3                  ,2024
