Team,INT,INT TD,INT Yds,Lng,year
Jaguars,                    12                  ,                    1                  ,                    200                  ,                    53T                  ,2020
Chargers,                    12                  ,                    2                  ,                    217                  ,                    78                  ,2020
49ers,                    12                  ,                    1                  ,                    123                  ,                    51T                  ,2020
Bengals,                    11                  ,                    0                  ,                    84                  ,                    30                  ,2020
Browns,                    11                  ,                    2                  ,                    214                  ,                    50                  ,2020
Packers,                    11                  ,                    1                  ,                    98                  ,                    24T                  ,2020
Giants,                    11                  ,                    1                  ,                    101                  ,                    46T                  ,2020
Cardinals,                    11                  ,                    0                  ,                    129                  ,                    90                  ,2020
Ravens,                    10                  ,                    0                  ,                    78                  ,                    25                  ,2020
Bears,                    10                  ,                    0                  ,                    81                  ,                    33                  ,2020
Cowboys,                    10                  ,                    0                  ,                    108                  ,                    43                  ,2020
Broncos,                    10                  ,                    0                  ,                    130                  ,                    46                  ,2020
Raiders,                    10                  ,                    0                  ,                    156                  ,                    47                  ,2020
Jets,                    10                  ,                    1                  ,                    134                  ,                    35T                  ,2020
Eagles,                    8                  ,                    1                  ,                    101                  ,                    30T                  ,2020
Panthers,                    7                  ,                    0                  ,                    110                  ,                    66                  ,2020
Lions,                    7                  ,                    0                  ,                    65                  ,                    36                  ,2020
Texans,                    3                  ,                    1                  ,                    19                  ,                    19T                  ,2020
Cowboys,                    26                  ,                    5                  ,                    405                  ,                    66                  ,2021
Patriots,                    23                  ,                    3                  ,                    322                  ,                    88                  ,2021
Bills,                    19                  ,                    1                  ,                    238                  ,                    26T                  ,2021
Colts,                    19                  ,                    0                  ,                    175                  ,                    32                  ,2021
Rams,                    19                  ,                    0                  ,                    192                  ,                    34                  ,2021
Packers,                    18                  ,                    2                  ,                    164                  ,                    55T                  ,2021
Saints,                    18                  ,                    2                  ,                    313                  ,                    53T                  ,2021
Texans,                    17                  ,                    1                  ,                    295                  ,                    82T                  ,2021
Buccaneers,                    17                  ,                    2                  ,                    177                  ,                    31T                  ,2021
Titans,                    16                  ,                    2                  ,                    128                  ,                    24                  ,2021
Vikings,                    16                  ,                    2                  ,                    256                  ,                    66                  ,2021
Chiefs,                    15                  ,                    2                  ,                    160                  ,                    75                  ,2021
Giants,                    15                  ,                    1                  ,                    135                  ,                    41T                  ,2021
Dolphins,                    14                  ,                    3                  ,                    175                  ,                    85                  ,2021
Bengals,                    13                  ,                    1                  ,                    266                  ,                    65                  ,2021
Browns,                    13                  ,                    1                  ,                    148                  ,                    99T                  ,2021
Broncos,                    13                  ,                    1                  ,                    221                  ,                    70T                  ,2021
Cardinals,                    13                  ,                    1                  ,                    247                  ,                    77T                  ,2021
Steelers,                    13                  ,                    0                  ,                    105                  ,                    41                  ,2021
Falcons,                    12                  ,                    2                  ,                    202                  ,                    66                  ,2021
Eagles,                    12                  ,                    2                  ,                    142                  ,                    51                  ,2021
Lions,                    11                  ,                    0                  ,                    108                  ,                    50                  ,2021
Chargers,                    11                  ,                    0                  ,                    70                  ,                    26                  ,2021
Seahawks,                    11                  ,                    0                  ,                    92                  ,                    29                  ,2021
FootballTeam,                    11                  ,                    2                  ,                    120                  ,                    31                  ,2021
Ravens,                    9                  ,                    1                  ,                    38                  ,                    21T                  ,2021
Panthers,                    9                  ,                    0                  ,                    103                  ,                    29                  ,2021
49ers,                    9                  ,                    2                  ,                    136                  ,                    40                  ,2021
Bears,                    8                  ,                    1                  ,                    135                  ,                    53T                  ,2021
Jaguars,                    7                  ,                    0                  ,                    57                  ,                    23                  ,2021
Jets,                    7                  ,                    1                  ,                    114                  ,                    32                  ,2021
Raiders,                    6                  ,                    0                  ,                    68                  ,                    35                  ,2021
