Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,year
Jaguars,                    22.2                  ,                    36                  ,                    799                  ,                    1                  ,                    20                  ,                    1                  ,                    102T                  ,                    0                  ,                    1                  ,                    0                  ,                    2                  ,2021
Panthers,                    22.1                  ,                    28                  ,                    620                  ,                    0                  ,                    20                  ,                    0                  ,                    39                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Patriots,                    21.8                  ,                    25                  ,                    544                  ,                    0                  ,                    17                  ,                    0                  ,                    37                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2021
Falcons,                    21.7                  ,                    46                  ,                    999                  ,                    0                  ,                    30                  ,                    0                  ,                    38                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2021
Cardinals,                    21.1                  ,                    29                  ,                    611                  ,                    0                  ,                    18                  ,                    0                  ,                    32                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Browns,                    20.7                  ,                    40                  ,                    828                  ,                    0                  ,                    24                  ,                    0                  ,                    35                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2021
Giants,                    20.7                  ,                    33                  ,                    683                  ,                    0                  ,                    20                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Rams,                    20.2                  ,                    34                  ,                    686                  ,                    0                  ,                    13                  ,                    1                  ,                    65                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2021
Bengals,                    20.1                  ,                    33                  ,                    662                  ,                    0                  ,                    18                  ,                    1                  ,                    44                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Raiders,                    19.8                  ,                    35                  ,                    694                  ,                    0                  ,                    18                  ,                    0                  ,                    34                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2021
Buccaneers,                    19.7                  ,                    30                  ,                    592                  ,                    0                  ,                    11                  ,                    1                  ,                    41                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Titans,                    19.4                  ,                    40                  ,                    778                  ,                    0                  ,                    19                  ,                    0                  ,                    37                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2021
49ers,                    18.9                  ,                    34                  ,                    642                  ,                    0                  ,                    15                  ,                    1                  ,                    68                  ,                    1                  ,                    3                  ,                    1                  ,                    0                  ,2021
Eagles,                    18                  ,                    35                  ,                    630                  ,                    0                  ,                    18                  ,                    1                  ,                    44                  ,                    0                  ,                    3                  ,                    1                  ,                    0                  ,2021
Packers,                    17.7                  ,                    30                  ,                    531                  ,                    0                  ,                    12                  ,                    1                  ,                    41                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2021
Dolphins,                    17.4                  ,                    19                  ,                    330                  ,                    0                  ,                    6                  ,                    0                  ,                    31                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Broncos,                    16.2                  ,                    18                  ,                    291                  ,                    0                  ,                    4                  ,                    0                  ,                    26                  ,                    0                  ,                    0                  ,                    3                  ,                    0                  ,2021
Colts,                    27.8                  ,                    43                  ,                    1197                  ,                    0                  ,                    35                  ,                    4                  ,                    89                  ,                    0                  ,                    1                  ,                    1                  ,                    1                  ,2022
Bears,                    26.2                  ,                    38                  ,                    996                  ,                    0                  ,                    31                  ,                    5                  ,                    63                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Lions,                    26.2                  ,                    34                  ,                    889                  ,                    0                  ,                    29                  ,                    3                  ,                    52                  ,                    0                  ,                    2                  ,                    0                  ,                    1                  ,2022
Packers,                    25.6                  ,                    47                  ,                    1205                  ,                    1                  ,                    24                  ,                    5                  ,                    105T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Vikings,                    25.6                  ,                    36                  ,                    920                  ,                    1                  ,                    28                  ,                    1                  ,                    97T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Bills,                    25.2                  ,                    36                  ,                    908                  ,                    2                  ,                    24                  ,                    4                  ,                    101T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Jaguars,                    24.9                  ,                    29                  ,                    721                  ,                    0                  ,                    22                  ,                    2                  ,                    54                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Ravens,                    24.4                  ,                    27                  ,                    659                  ,                    1                  ,                    17                  ,                    2                  ,                    103T                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2022
Seahawks,                    24.3                  ,                    30                  ,                    728                  ,                    0                  ,                    22                  ,                    2                  ,                    50                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Panthers,                    24.1                  ,                    31                  ,                    747                  ,                    0                  ,                    17                  ,                    3                  ,                    66                  ,                    0                  ,                    2                  ,                    4                  ,                    1                  ,2022
Cowboys,                    23.9                  ,                    22                  ,                    526                  ,                    0                  ,                    13                  ,                    1                  ,                    63                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2022
Patriots,                    23.8                  ,                    36                  ,                    856                  ,                    0                  ,                    25                  ,                    1                  ,                    46                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Texans,                    23.3                  ,                    22                  ,                    513                  ,                    0                  ,                    16                  ,                    1                  ,                    50                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
49ers,                    23                  ,                    26                  ,                    599                  ,                    0                  ,                    18                  ,                    0                  ,                    39                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2022
Browns,                    23                  ,                    41                  ,                    943                  ,                    0                  ,                    23                  ,                    3                  ,                    48                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Falcons,                    22.6                  ,                    28                  ,                    634                  ,                    1                  ,                    15                  ,                    1                  ,                    103T                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Cardinals,                    22.1                  ,                    31                  ,                    686                  ,                    0                  ,                    18                  ,                    1                  ,                    44                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Eagles,                    22.1                  ,                    30                  ,                    663                  ,                    0                  ,                    17                  ,                    2                  ,                    66                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Saints,                    22                  ,                    27                  ,                    595                  ,                    0                  ,                    19                  ,                    0                  ,                    33                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2022
Commanders,                    22                  ,                    41                  ,                    902                  ,                    0                  ,                    25                  ,                    2                  ,                    45                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2022
Jets,                    21.5                  ,                    31                  ,                    666                  ,                    0                  ,                    21                  ,                    1                  ,                    42                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Titans,                    21.4                  ,                    37                  ,                    792                  ,                    0                  ,                    22                  ,                    0                  ,                    37                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2022
Giants,                    21.4                  ,                    26                  ,                    555                  ,                    0                  ,                    14                  ,                    2                  ,                    47                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2022
Steelers,                    21.2                  ,                    24                  ,                    510                  ,                    0                  ,                    11                  ,                    1                  ,                    89                  ,                    0                  ,                    1                  ,                    2                  ,                    1                  ,2022
Buccaneers,                    21.2                  ,                    28                  ,                    595                  ,                    0                  ,                    16                  ,                    1                  ,                    54                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2022
Raiders,                    20.9                  ,                    32                  ,                    668                  ,                    0                  ,                    18                  ,                    0                  ,                    33                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Bengals,                    20.6                  ,                    29                  ,                    596                  ,                    0                  ,                    17                  ,                    1                  ,                    42                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2022
Rams,                    20.1                  ,                    33                  ,                    663                  ,                    0                  ,                    17                  ,                    0                  ,                    34                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Chiefs,                    19.2                  ,                    36                  ,                    692                  ,                    0                  ,                    14                  ,                    3                  ,                    48                  ,                    0                  ,                    2                  ,                    0                  ,                    0                  ,2022
Chargers,                    19                  ,                    27                  ,                    512                  ,                    0                  ,                    10                  ,                    0                  ,                    33                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2022
Dolphins,                    18.9                  ,                    29                  ,                    549                  ,                    0                  ,                    14                  ,                    0                  ,                    31                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Broncos,                    17.5                  ,                    24                  ,                    420                  ,                    0                  ,                    10                  ,                    0                  ,                    29                  ,                    0                  ,                    2                  ,                    1                  ,                    0                  ,2022
Texans,                    26.6                  ,                    23                  ,                    613                  ,                    2                  ,                    15                  ,                    2                  ,                    98                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2023
Panthers,                    26.5                  ,                    24                  ,                    637                  ,                    0                  ,                    19                  ,                    2                  ,                    52                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2023
Patriots,                    26.2                  ,                    18                  ,                    471                  ,                    1                  ,                    13                  ,                    3                  ,                    98T                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2023
Seahawks,                    26.2                  ,                    26                  ,                    680                  ,                    0                  ,                    24                  ,                    1                  ,                    66                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2023
Packers,                    25.3                  ,                    31                  ,                    783                  ,                    0                  ,                    26                  ,                    2                  ,                    51                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2023
Vikings,                    25.1                  ,                    19                  ,                    477                  ,                    0                  ,                    14                  ,                    1                  ,                    47                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2023
Commanders,                    25                  ,                    24                  ,                    601                  ,                    0                  ,                    18                  ,                    1                  ,                    40                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2023
Broncos,                    24.9                  ,                    16                  ,                    398                  ,                    1                  ,                    11                  ,                    1                  ,                    99T                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2023
Ravens,                    24.5                  ,                    13                  ,                    319                  ,                    0                  ,                    8                  ,                    1                  ,                    78                  ,                    4                  ,                    0                  ,                    0                  ,                    0                  ,2023
Dolphins,                    24.5                  ,                    18                  ,                    441                  ,                    0                  ,                    16                  ,                    0                  ,                    33                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Raiders,                    23.8                  ,                    11                  ,                    262                  ,                    0                  ,                    9                  ,                    1                  ,                    40                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2023
Browns,                    23.7                  ,                    11                  ,                    261                  ,                    0                  ,                    7                  ,                    0                  ,                    36                  ,                    2                  ,                    0                  ,                    3                  ,                    0                  ,2023
Jaguars,                    23.7                  ,                    29                  ,                    688                  ,                    0                  ,                    21                  ,                    1                  ,                    53                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Bears,                    23.6                  ,                    23                  ,                    543                  ,                    0                  ,                    18                  ,                    0                  ,                    37                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2023
Steelers,                    23.5                  ,                    24                  ,                    565                  ,                    0                  ,                    17                  ,                    0                  ,                    37                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2023
Bengals,                    22.8                  ,                    17                  ,                    387                  ,                    0                  ,                    11                  ,                    2                  ,                    46                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Jets,                    22.6                  ,                    24                  ,                    542                  ,                    0                  ,                    16                  ,                    0                  ,                    34                  ,                    1                  ,                    2                  ,                    0                  ,                    0                  ,2023
Colts,                    22.2                  ,                    9                  ,                    200                  ,                    0                  ,                    3                  ,                    1                  ,                    42                  ,                    8                  ,                    1                  ,                    0                  ,                    0                  ,2023
Lions,                    22.2                  ,                    19                  ,                    421                  ,                    0                  ,                    11                  ,                    0                  ,                    31                  ,                    2                  ,                    1                  ,                    0                  ,                    1                  ,2023
49ers,                    21.8                  ,                    20                  ,                    437                  ,                    0                  ,                    11                  ,                    0                  ,                    34                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Cowboys,                    21.8                  ,                    18                  ,                    393                  ,                    0                  ,                    10                  ,                    2                  ,                    63                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2023
Chargers,                    21.7                  ,                    18                  ,                    390                  ,                    0                  ,                    13                  ,                    1                  ,                    46                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2023
Cardinals,                    21.2                  ,                    18                  ,                    382                  ,                    0                  ,                    10                  ,                    1                  ,                    40                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Saints,                    21.2                  ,                    22                  ,                    466                  ,                    0                  ,                    11                  ,                    0                  ,                    28                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2023
Titans,                    20.7                  ,                    18                  ,                    372                  ,                    0                  ,                    11                  ,                    0                  ,                    33                  ,                    14                  ,                    0                  ,                    1                  ,                    1                  ,2023
Bills,                    20.5                  ,                    17                  ,                    349                  ,                    0                  ,                    10                  ,                    1                  ,                    41                  ,                    4                  ,                    0                  ,                    1                  ,                    0                  ,2023
Buccaneers,                    20.4                  ,                    16                  ,                    327                  ,                    0                  ,                    7                  ,                    0                  ,                    32                  ,                    5                  ,                    0                  ,                    0                  ,                    0                  ,2023
Chiefs,                    20.1                  ,                    12                  ,                    241                  ,                    0                  ,                    8                  ,                    0                  ,                    31                  ,                    6                  ,                    0                  ,                    1                  ,                    0                  ,2023
Eagles,                    19.5                  ,                    13                  ,                    254                  ,                    0                  ,                    5                  ,                    0                  ,                    38                  ,                    10                  ,                    1                  ,                    1                  ,                    0                  ,2023
Giants,                    19.2                  ,                    13                  ,                    249                  ,                    0                  ,                    7                  ,                    0                  ,                    36                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2023
Falcons,                    16.9                  ,                    14                  ,                    236                  ,                    0                  ,                    5                  ,                    0                  ,                    29                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Rams,                    16.1                  ,                    9                  ,                    145                  ,                    0                  ,                    4                  ,                    0                  ,                    36                  ,                    18                  ,                    0                  ,                    0                  ,                    1                  ,2023
Cowboys,                    32.1                  ,                    34                  ,                    1091                  ,                    2                  ,                    29                  ,                    5                  ,                    99                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2024
Lions,                    31.4                  ,                    15                  ,                    471                  ,                    0                  ,                    14                  ,                    1                  ,                    72                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2024
Jets,                    30.3                  ,                    29                  ,                    878                  ,                    1                  ,                    29                  ,                    3                  ,                    99T                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2024
Texans,                    30.1                  ,                    24                  ,                    722                  ,                    0                  ,                    21                  ,                    4                  ,                    80                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2024
Raiders,                    29.6                  ,                    23                  ,                    680                  ,                    0                  ,                    21                  ,                    2                  ,                    68                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2024
Colts,                    29.3                  ,                    22                  ,                    644                  ,                    0                  ,                    21                  ,                    3                  ,                    55                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2024
Commanders,                    29.2                  ,                    37                  ,                    1082                  ,                    0                  ,                    36                  ,                    2                  ,                    62                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2024
Bengals,                    29                  ,                    39                  ,                    1133                  ,                    1                  ,                    34                  ,                    2                  ,                    100T                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2024
Dolphins,                    29                  ,                    26                  ,                    755                  ,                    0                  ,                    23                  ,                    2                  ,                    67                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2024
49ers,                    28.5                  ,                    31                  ,                    884                  ,                    0                  ,                    29                  ,                    3                  ,                    60                  ,                    0                  ,                    4                  ,                    1                  ,                    1                  ,2024
Bears,                    28.4                  ,                    27                  ,                    768                  ,                    0                  ,                    24                  ,                    2                  ,                    67                  ,                    0                  ,                    1                  ,                    0                  ,                    0                  ,2024
Cardinals,                    28.4                  ,                    25                  ,                    709                  ,                    1                  ,                    22                  ,                    1                  ,                    96T                  ,                    1                  ,                    1                  ,                    0                  ,                    0                  ,2024
Giants,                    28.3                  ,                    36                  ,                    1019                  ,                    1                  ,                    34                  ,                    2                  ,                    100T                  ,                    0                  ,                    3                  ,                    2                  ,                    0                  ,2024
Packers,                    28.2                  ,                    20                  ,                    564                  ,                    0                  ,                    18                  ,                    1                  ,                    43                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2024
Seahawks,                    28                  ,                    38                  ,                    1065                  ,                    1                  ,                    32                  ,                    1                  ,                    97T                  ,                    0                  ,                    3                  ,                    1                  ,                    1                  ,2024
Broncos,                    28                  ,                    13                  ,                    364                  ,                    0                  ,                    12                  ,                    0                  ,                    38                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2024
Chargers,                    27.7                  ,                    21                  ,                    581                  ,                    0                  ,                    17                  ,                    2                  ,                    56                  ,                    0                  ,                    1                  ,                    1                  ,                    0                  ,2024
