Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,year
Raiders,                    87                  ,                    5560                  ,                    53                  ,                    60.9                  ,                    33                  ,                    22.5                  ,                    0                  ,                    0                  ,                    1                  ,                    1                  ,2021
Saints,                    84                  ,                    5194                  ,                    49                  ,                    58.3                  ,                    32                  ,                    20.6                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2021
Seahawks,                    83                  ,                    5138                  ,                    31                  ,                    37.4                  ,                    50                  ,                    19.7                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2021
Dolphins,                    79                  ,                    5027                  ,                    56                  ,                    70.9                  ,                    21                  ,                    20.7                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2021
FootballTeam,                    79                  ,                    4970                  ,                    47                  ,                    59.5                  ,                    30                  ,                    21.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2021
Broncos,                    78                  ,                    4975                  ,                    62                  ,                    79.5                  ,                    14                  ,                    39.4                  ,                    2                  ,                    1                  ,                    0                  ,                    2                  ,2021
Lions,                    76                  ,                    4386                  ,                    33                  ,                    43.4                  ,                    36                  ,                    21.2                  ,                    9                  ,                    3                  ,                    0                  ,                    0                  ,2021
Panthers,                    74                  ,                    4750                  ,                    45                  ,                    60.8                  ,                    29                  ,                    26.5                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2021
Browns,                    74                  ,                    4664                  ,                    34                  ,                    46                  ,                    39                  ,                    20.3                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2021
Jets,                    73                  ,                    4434                  ,                    48                  ,                    65.8                  ,                    22                  ,                    17.8                  ,                    4                  ,                    0                  ,                    1                  ,                    0                  ,2021
Falcons,                    71                  ,                    4454                  ,                    35                  ,                    49.3                  ,                    34                  ,                    23.8                  ,                    1                  ,                    0                  ,                    1                  ,                    1                  ,2021
Bears,                    71                  ,                    4443                  ,                    34                  ,                    47.9                  ,                    35                  ,                    21.4                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2021
Giants,                    69                  ,                    4068                  ,                    27                  ,                    39.1                  ,                    37                  ,                    17.8                  ,                    4                  ,                    1                  ,                    1                  ,                    0                  ,2021
Texans,                    67                  ,                    4127                  ,                    32                  ,                    47.8                  ,                    32                  ,                    20.4                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2021
Jaguars,                    62                  ,                    3822                  ,                    22                  ,                    35.5                  ,                    38                  ,                    29.3                  ,                    2                  ,                    0                  ,                    1                  ,                    3                  ,2021
Cowboys,                    100                  ,                    6506                  ,                    78                  ,                    78                  ,                    21                  ,                    24.2                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
49ers,                    99                  ,                    6223                  ,                    47                  ,                    47.5                  ,                    51                  ,                    21.5                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2022
Chiefs,                    98                  ,                    6287                  ,                    65                  ,                    66.3                  ,                    33                  ,                    23.3                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Eagles,                    97                  ,                    6290                  ,                    67                  ,                    69.1                  ,                    30                  ,                    26.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Seahawks,                    94                  ,                    5903                  ,                    54                  ,                    57.4                  ,                    38                  ,                    20.9                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2022
Bills,                    93                  ,                    5822                  ,                    43                  ,                    46.2                  ,                    48                  ,                    20.2                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2022
Lions,                    93                  ,                    5764                  ,                    54                  ,                    58.1                  ,                    34                  ,                    21.9                  ,                    4                  ,                    0                  ,                    1                  ,                    0                  ,2022
Bengals,                    90                  ,                    5604                  ,                    51                  ,                    56.7                  ,                    37                  ,                    21.4                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2022
Raiders,                    90                  ,                    5548                  ,                    57                  ,                    63.3                  ,                    29                  ,                    20.1                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2022
Dolphins,                    90                  ,                    5633                  ,                    61                  ,                    67.8                  ,                    26                  ,                    27.8                  ,                    3                  ,                    0                  ,                    0                  ,                    1                  ,2022
Jaguars,                    89                  ,                    5537                  ,                    44                  ,                    49.4                  ,                    41                  ,                    21.5                  ,                    1                  ,                    1                  ,                    3                  ,                    0                  ,2022
Vikings,                    89                  ,                    5640                  ,                    54                  ,                    60.7                  ,                    34                  ,                    26.2                  ,                    1                  ,                    0                  ,                    0                  ,                    1                  ,2022
Ravens,                    86                  ,                    5449                  ,                    60                  ,                    69.8                  ,                    26                  ,                    21.2                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Chargers,                    86                  ,                    5384                  ,                    69                  ,                    80.2                  ,                    15                  ,                    21.1                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2022
Patriots,                    85                  ,                    5256                  ,                    31                  ,                    36.5                  ,                    52                  ,                    25.6                  ,                    1                  ,                    0                  ,                    1                  ,                    3                  ,2022
Giants,                    85                  ,                    5174                  ,                    50                  ,                    58.8                  ,                    30                  ,                    25.6                  ,                    5                  ,                    0                  ,                    0                  ,                    0                  ,2022
Panthers,                    84                  ,                    5154                  ,                    46                  ,                    54.8                  ,                    33                  ,                    22.4                  ,                    3                  ,                    0                  ,                    2                  ,                    0                  ,2022
Browns,                    82                  ,                    5111                  ,                    50                  ,                    61                  ,                    29                  ,                    22.3                  ,                    3                  ,                    0                  ,                    2                  ,                    0                  ,2022
Falcons,                    80                  ,                    5143                  ,                    59                  ,                    73.8                  ,                    21                  ,                    22.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Packers,                    80                  ,                    4867                  ,                    18                  ,                    22.5                  ,                    61                  ,                    23.2                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2022
Colts,                    78                  ,                    5069                  ,                    42                  ,                    53.8                  ,                    34                  ,                    23                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2022
Rams,                    78                  ,                    4886                  ,                    61                  ,                    78.2                  ,                    15                  ,                    23                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2022
Cardinals,                    78                  ,                    4948                  ,                    57                  ,                    73.1                  ,                    20                  ,                    21.2                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2022
Buccaneers,                    78                  ,                    4859                  ,                    40                  ,                    51.3                  ,                    34                  ,                    25.8                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2022
Commanders,                    78                  ,                    4865                  ,                    60                  ,                    76.9                  ,                    15                  ,                    23.3                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2022
Steelers,                    77                  ,                    4719                  ,                    26                  ,                    33.8                  ,                    47                  ,                    24.5                  ,                    2                  ,                    0                  ,                    3                  ,                    0                  ,2022
Bears,                    76                  ,                    4819                  ,                    41                  ,                    54                  ,                    32                  ,                    25.7                  ,                    2                  ,                    0                  ,                    1                  ,                    1                  ,2022
Texans,                    75                  ,                    4564                  ,                    33                  ,                    44                  ,                    37                  ,                    19                  ,                    5                  ,                    0                  ,                    1                  ,                    0                  ,2022
Saints,                    75                  ,                    4554                  ,                    48                  ,                    64                  ,                    23                  ,                    22.6                  ,                    4                  ,                    0                  ,                    0                  ,                    0                  ,2022
Broncos,                    73                  ,                    4580                  ,                    51                  ,                    69.9                  ,                    21                  ,                    21.2                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2022
Jets,                    73                  ,                    4445                  ,                    58                  ,                    79.4                  ,                    12                  ,                    20.9                  ,                    3                  ,                    1                  ,                    0                  ,                    0                  ,2022
Titans,                    69                  ,                    4343                  ,                    37                  ,                    53.6                  ,                    32                  ,                    20.2                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2022
Cowboys,                    109                  ,                    7068                  ,                    99                  ,                    90.8                  ,                    8                  ,                    24.8                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2023
Ravens,                    104                  ,                    6638                  ,                    80                  ,                    76.9                  ,                    20                  ,                    23                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2023
Dolphins,                    98                  ,                    6327                  ,                    83                  ,                    84.7                  ,                    15                  ,                    30.5                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2023
49ers,                    97                  ,                    6131                  ,                    58                  ,                    59.8                  ,                    32                  ,                    23.3                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2023
Bills,                    95                  ,                    5952                  ,                    53                  ,                    55.8                  ,                    29                  ,                    22.4                  ,                    1                  ,                    0                  ,                    1                  ,                    1                  ,2023
Lions,                    93                  ,                    5814                  ,                    60                  ,                    64.5                  ,                    27                  ,                    20.8                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2023
Colts,                    93                  ,                    5960                  ,                    72                  ,                    77.4                  ,                    15                  ,                    26.1                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Browns,                    92                  ,                    5804                  ,                    54                  ,                    58.7                  ,                    30                  ,                    21.2                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2023
Rams,                    92                  ,                    5865                  ,                    80                  ,                    87                  ,                    11                  ,                    26.9                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Saints,                    91                  ,                    5828                  ,                    76                  ,                    83.5                  ,                    12                  ,                    18.8                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Eagles,                    91                  ,                    5846                  ,                    73                  ,                    80.2                  ,                    17                  ,                    28.9                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Bears,                    89                  ,                    5624                  ,                    71                  ,                    79.8                  ,                    15                  ,                    24.7                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2023
Texans,                    87                  ,                    5419                  ,                    56                  ,                    64.4                  ,                    26                  ,                    21.9                  ,                    2                  ,                    1                  ,                    0                  ,                    0                  ,2023
Packers,                    86                  ,                    5466                  ,                    37                  ,                    43                  ,                    40                  ,                    23.8                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2023
Jaguars,                    86                  ,                    5421                  ,                    65                  ,                    75.6                  ,                    14                  ,                    25.4                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2023
Seahawks,                    86                  ,                    5428                  ,                    55                  ,                    64                  ,                    22                  ,                    22.2                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2023
Chiefs,                    85                  ,                    5565                  ,                    74                  ,                    87.1                  ,                    11                  ,                    28.3                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Bengals,                    82                  ,                    5162                  ,                    63                  ,                    76.8                  ,                    13                  ,                    17                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2023
Broncos,                    82                  ,                    5190                  ,                    71                  ,                    86.6                  ,                    8                  ,                    21.5                  ,                    3                  ,                    0                  ,                    0                  ,                    0                  ,2023
Buccaneers,                    82                  ,                    5124                  ,                    52                  ,                    63.4                  ,                    26                  ,                    18.9                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Chargers,                    81                  ,                    5168                  ,                    68                  ,                    84                  ,                    11                  ,                    19.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Vikings,                    80                  ,                    5131                  ,                    61                  ,                    76.2                  ,                    17                  ,                    23.8                  ,                    1                  ,                    0                  ,                    1                  ,                    0                  ,2023
Falcons,                    79                  ,                    5128                  ,                    66                  ,                    83.5                  ,                    11                  ,                    23.7                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2023
Cardinals,                    79                  ,                    4843                  ,                    66                  ,                    83.5                  ,                    6                  ,                    22.2                  ,                    5                  ,                    1                  ,                    0                  ,                    0                  ,2023
Raiders,                    78                  ,                    4977                  ,                    48                  ,                    61.5                  ,                    28                  ,                    22.8                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Steelers,                    76                  ,                    4833                  ,                    55                  ,                    72.4                  ,                    18                  ,                    26.4                  ,                    0                  ,                    0                  ,                    0                  ,                    0                  ,2023
Jets,                    73                  ,                    4651                  ,                    62                  ,                    84.9                  ,                    8                  ,                    15.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Titans,                    72                  ,                    4508                  ,                    34                  ,                    47.2                  ,                    35                  ,                    23.3                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2023
Commanders,                    72                  ,                    4520                  ,                    64                  ,                    88.9                  ,                    5                  ,                    27.8                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2023
Giants,                    65                  ,                    4110                  ,                    38                  ,                    58.5                  ,                    16                  ,                    23.6                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2023
Panthers,                    62                  ,                    3749                  ,                    37                  ,                    59.7                  ,                    20                  ,                    23.9                  ,                    4                  ,                    0                  ,                    1                  ,                    0                  ,2023
Patriots,                    61                  ,                    3830                  ,                    39                  ,                    63.9                  ,                    21                  ,                    20.6                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2023
Lions,                    110                  ,                    7053                  ,                    85                  ,                    77.3                  ,                    24                  ,                    31.1                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2024
Buccaneers,                    106                  ,                    6710                  ,                    80                  ,                    75.5                  ,                    23                  ,                    27.2                  ,                    2                  ,                    1                  ,                    1                  ,                    0                  ,2024
Ravens,                    105                  ,                    6732                  ,                    76                  ,                    72.4                  ,                    28                  ,                    28.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2024
Bills,                    103                  ,                    6567                  ,                    75                  ,                    72.8                  ,                    25                  ,                    30.8                  ,                    1                  ,                    0                  ,                    2                  ,                    1                  ,2024
Commanders,                    102                  ,                    6215                  ,                    25                  ,                    24.5                  ,                    73                  ,                    26.5                  ,                    4                  ,                    0                  ,                    1                  ,                    2                  ,2024
Bengals,                    98                  ,                    6126                  ,                    74                  ,                    75.5                  ,                    20                  ,                    24.5                  ,                    3                  ,                    0                  ,                    1                  ,                    0                  ,2024
Vikings,                    98                  ,                    6268                  ,                    81                  ,                    82.6                  ,                    14                  ,                    28.5                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2024
Eagles,                    97                  ,                    6226                  ,                    66                  ,                    68                  ,                    29                  ,                    28.6                  ,                    0                  ,                    0                  ,                    2                  ,                    0                  ,2024
Broncos,                    95                  ,                    6032                  ,                    70                  ,                    73.7                  ,                    22                  ,                    27.4                  ,                    2                  ,                    0                  ,                    2                  ,                    0                  ,2024
Packers,                    95                  ,                    6003                  ,                    44                  ,                    46.3                  ,                    49                  ,                    27                  ,                    2                  ,                    0                  ,                    1                  ,                    0                  ,2024
Chargers,                    94                  ,                    5983                  ,                    65                  ,                    69.2                  ,                    26                  ,                    28.6                  ,                    1                  ,                    0                  ,                    2                  ,                    0                  ,2024
Falcons,                    90                  ,                    5797                  ,                    62                  ,                    68.9                  ,                    27                  ,                    27.3                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2024
Steelers,                    90                  ,                    5743                  ,                    49                  ,                    54.4                  ,                    40                  ,                    28.9                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2024
49ers,                    89                  ,                    5483                  ,                    52                  ,                    58.4                  ,                    31                  ,                    28.6                  ,                    3                  ,                    0                  ,                    4                  ,                    1                  ,2024
Cowboys,                    88                  ,                    5383                  ,                    43                  ,                    48.9                  ,                    39                  ,                    27.1                  ,                    3                  ,                    1                  ,                    3                  ,                    0                  ,2024
Texans,                    88                  ,                    5481                  ,                    42                  ,                    47.7                  ,                    43                  ,                    26.2                  ,                    2                  ,                    0                  ,                    3                  ,                    0                  ,2024
Colts,                    88                  ,                    5615                  ,                    73                  ,                    83                  ,                    13                  ,                    34.8                  ,                    2                  ,                    0                  ,                    0                  ,                    1                  ,2024
Chiefs,                    87                  ,                    5589                  ,                    60                  ,                    69                  ,                    26                  ,                    28.5                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2024
Dolphins,                    87                  ,                    5489                  ,                    66                  ,                    75.9                  ,                    17                  ,                    25.2                  ,                    3                  ,                    0                  ,                    2                  ,                    0                  ,2024
Cardinals,                    87                  ,                    5640                  ,                    71                  ,                    81.6                  ,                    15                  ,                    31.4                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2024
Rams,                    86                  ,                    5483                  ,                    71                  ,                    82.6                  ,                    13                  ,                    29.3                  ,                    2                  ,                    0                  ,                    0                  ,                    0                  ,2024
Seahawks,                    86                  ,                    5524                  ,                    46                  ,                    53.5                  ,                    40                  ,                    27.8                  ,                    0                  ,                    0                  ,                    0                  ,                    1                  ,2024
Raiders,                    80                  ,                    4861                  ,                    51                  ,                    63.8                  ,                    24                  ,                    24.8                  ,                    5                  ,                    0                  ,                    1                  ,                    0                  ,2024
Saints,                    79                  ,                    4978                  ,                    21                  ,                    26.6                  ,                    57                  ,                    26                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2024
Jaguars,                    77                  ,                    4882                  ,                    65                  ,                    84.4                  ,                    10                  ,                    27.4                  ,                    1                  ,                    0                  ,                    0                  ,                    0                  ,2024
Panthers,                    76                  ,                    4690                  ,                    32                  ,                    42.1                  ,                    40                  ,                    24.2                  ,                    1                  ,                    0                  ,                    4                  ,                    0                  ,2024
Jets,                    76                  ,                    4836                  ,                    44                  ,                    57.9                  ,                    31                  ,                    26.1                  ,                    0                  ,                    0                  ,                    1                  ,                    0                  ,2024
Bears,                    72                  ,                    4479                  ,                    38                  ,                    52.8                  ,                    31                  ,                    27.5                  ,                    3                  ,                    1                  ,                    0                  ,                    0                  ,2024
