Team,FF,FR,FR TD,Rec FUM,Rush FUM,year
Ravens,                    16                  ,                    12                  ,                    2                  ,                    4                  ,                    5                  ,2017
Bills,                    16                  ,                    7                  ,                    2                  ,                    7                  ,                    5                  ,2017
Lions,                    16                  ,                    13                  ,                    2                  ,                    5                  ,                    8                  ,2017
Panthers,                    15                  ,                    11                  ,                    1                  ,                    4                  ,                    1                  ,2017
Bears,                    14                  ,                    14                  ,                    1                  ,                    4                  ,                    8                  ,2017
Browns,                    14                  ,                    6                  ,                    0                  ,                    7                  ,                    5                  ,2017
Eagles,                    14                  ,                    10                  ,                    4                  ,                    3                  ,                    3                  ,2017
Texans,                    13                  ,                    5                  ,                    2                  ,                    2                  ,                    4                  ,2017
Chargers,                    13                  ,                    9                  ,                    1                  ,                    3                  ,                    5                  ,2017
Seahawks,                    13                  ,                    9                  ,                    1                  ,                    1                  ,                    8                  ,2017
Falcons,                    12                  ,                    8                  ,                    2                  ,                    0                  ,                    8                  ,2017
Chiefs,                    12                  ,                    10                  ,                    3                  ,                    6                  ,                    4                  ,2017
Raiders,                    12                  ,                    9                  ,                    0                  ,                    2                  ,                    6                  ,2017
Giants,                    12                  ,                    6                  ,                    0                  ,                    4                  ,                    3                  ,2017
Steelers,                    12                  ,                    6                  ,                    0                  ,                    5                  ,                    4                  ,2017
Redskins,                    12                  ,                    7                  ,                    0                  ,                    2                  ,                    8                  ,2017
Titans,                    11                  ,                    9                  ,                    1                  ,                    5                  ,                    9                  ,2017
Colts,                    11                  ,                    7                  ,                    0                  ,                    4                  ,                    10                  ,2017
Packers,                    10                  ,                    10                  ,                    1                  ,                    3                  ,                    6                  ,2017
Dolphins,                    9                  ,                    6                  ,                    2                  ,                    1                  ,                    9                  ,2017
Patriots,                    9                  ,                    5                  ,                    0                  ,                    4                  ,                    6                  ,2017
Jets,                    9                  ,                    9                  ,                    0                  ,                    5                  ,                    9                  ,2017
Broncos,                    8                  ,                    7                  ,                    2                  ,                    3                  ,                    4                  ,2017
Vikings,                    8                  ,                    5                  ,                    0                  ,                    1                  ,                    4                  ,2017
Bengals,                    4                  ,                    2                  ,                    0                  ,                    1                  ,                    4                  ,2017
Chiefs,                    23                  ,                    12                  ,                    1                  ,                    3                  ,                    6                  ,2018
